#Measurement data
#24.07.2016 08:31:49

#Time (days)	Power (W)
0.000002	2.930000
0.000016	3.000000
0.000027	3.000000
0.000039	2.930000
0.000050	2.930000
0.000062	2.930000
0.000074	2.930000
0.000086	2.930000
0.000097	2.930000
0.000109	2.930000
0.000121	2.930000
0.000132	2.930000
0.000144	2.930000
0.000156	3.000000
0.000167	3.000000
0.000179	3.000000
0.000190	2.930000
0.000202	2.930000
0.000213	2.930000
0.000225	2.930000
0.000236	2.930000
0.000248	3.000000
0.000260	3.000000
0.000271	3.000000
0.000283	3.000000
0.000294	2.930000
0.000306	2.930000
0.000318	2.930000
0.000330	2.930000
0.000341	2.930000
0.000352	2.930000
0.000364	2.930000
0.000375	2.930000
0.000387	3.000000
0.000399	3.000000
0.000410	3.000000
0.000457	3.000000
0.000460	2.930000
0.000468	2.930000
0.000479	2.930000
0.000491	2.930000
0.000503	2.930000
0.000514	2.930000
0.000526	2.930000
0.000537	3.000000
0.000549	3.000000
0.000561	2.930000
0.000572	2.930000
0.000584	2.930000
0.000595	2.930000
0.000607	2.930000
0.000619	2.930000
0.000630	2.930000
0.000641	2.930000
0.000653	2.930000
0.000665	2.930000
0.000676	2.930000
0.000688	2.930000
0.000699	2.930000
0.000711	2.930000
0.000723	2.930000
0.000734	2.930000
0.000746	2.930000
0.000757	2.930000
0.000769	2.930000
0.000816	2.930000
0.000818	2.930000
0.000827	2.930000
0.000838	2.930000
0.000850	2.930000
0.000861	2.930000
0.000873	2.930000
0.000885	2.930000
0.000898	2.930000
0.000908	3.000000
0.000919	3.000000
0.000931	3.000000
0.000942	1129.740000
0.000954	1129.740000
0.000965	1129.740000
0.000977	1129.740000
0.000989	1125.380000
0.001000	1125.380000
0.001012	1125.380000
0.001023	1121.160000
0.001035	1121.160000
0.001047	1118.510000
0.001058	1118.510000
0.001070	1118.510000
0.001081	1118.150000
0.001093	1118.150000
0.001104	1118.150000
0.001116	1118.150000
0.001127	1117.800000
0.001139	1117.800000
0.001151	1117.800000
0.001162	1117.870000
0.001174	1117.870000
0.001185	1117.870000
0.001197	1116.290000
0.001208	1116.290000
0.001220	1117.010000
0.001232	1117.010000
0.001243	1117.010000
0.001257	1107.070000
0.001267	1107.070000
0.001278	1107.070000
0.001290	1107.070000
0.001301	1104.060000
0.001313	1104.060000
0.001324	1104.060000
0.001336	1104.780000
0.001347	1104.780000
0.001359	1105.070000
0.001371	1105.070000
0.001382	1105.070000
0.001394	1104.710000
0.001405	1104.710000
0.001417	1104.710000
0.001428	1104.710000
0.001440	1104.710000
0.001452	1104.710000
0.001463	1104.710000
0.001475	1103.920000
0.001486	1103.920000
0.001498	1103.920000
0.001509	1103.280000
0.001521	1103.280000
0.001533	1103.280000
0.001544	1103.280000
0.001556	1103.280000
0.001567	1105.140000
0.001579	1105.140000
0.001591	1105.140000
0.001602	1105.140000
0.001614	1105.640000
0.001625	1105.640000
0.001637	1105.640000
0.001648	1105.420000
0.001660	1105.420000
0.001671	1105.420000
0.001683	1106.570000
0.001695	1106.570000
0.001706	1105.490000
0.001718	1105.490000
0.001730	1105.490000
0.001741	1105.280000
0.001752	1105.280000
0.001764	1105.280000
0.001776	1105.280000
0.001788	1104.210000
0.001799	1104.210000
0.001810	1104.210000
0.001822	1103.490000
0.001834	1103.490000
0.001845	1103.630000
0.001857	1103.630000
0.001868	1103.630000
0.001880	1105.920000
0.001892	1105.920000
0.001903	1105.920000
0.001915	1105.850000
0.001927	1105.850000
0.001938	1105.850000
0.001949	1105.850000
0.001961	1106.140000
0.001972	1106.140000
0.001984	1106.140000
0.001996	1106.780000
0.002007	1106.780000
0.002019	1107.570000
0.002030	1107.570000
0.002042	1107.570000
0.002053	1106.570000
0.002065	1106.570000
0.002077	1106.570000
0.002088	1106.570000
0.002100	1106.070000
0.002111	1106.070000
0.002123	1106.070000
0.002135	1106.710000
0.002146	1106.710000
0.002158	1106.710000
0.002169	1107.640000
0.002181	1107.640000
0.002193	1107.850000
0.002204	1107.850000
0.002215	1107.850000
0.002227	1107.140000
0.002239	1107.140000
0.002250	1107.140000
0.002262	1107.140000
0.002274	1107.140000
0.002285	1107.140000
0.002297	1107.140000
0.002308	1107.280000
0.002320	1107.280000
0.002331	1106.920000
0.002343	1106.920000
0.002354	1106.920000
0.002366	1106.280000
0.002378	1106.280000
0.002389	1106.280000
0.002401	1105.780000
0.002412	1105.780000
0.002424	1105.780000
0.002435	1105.780000
0.002447	1106.920000
0.002459	1106.920000
0.002470	1106.920000
0.002482	1106.500000
0.002493	1106.500000
0.002505	1106.000000
0.002517	1106.000000
0.002528	1106.000000
