#Measurement data
#2022-07-14 13:51:55

#Time (days)	Power (W)	Current (A)
0.00001789	3.790000	0.049700
0.00003100	3.790000	0.049700
0.00004233	3.790000	0.049700
0.00005409	3.790000	0.049800
0.00006556	3.790000	0.049800
0.00007719	3.790000	0.049800
0.00008922	3.790000	0.049800
0.00010037	3.790000	0.049700
0.00011223	3.790000	0.049700
0.00012381	3.790000	0.049700
0.00013578	3.790000	0.049500
0.00014721	3.790000	0.049500
0.00015889	3.790000	0.049400
0.00017053	3.790000	0.049400
0.00018203	3.790000	0.049400
0.00019351	3.790000	0.049400
0.00020527	3.790000	0.049400
0.00021696	3.790000	0.049400
0.00022845	0.140000	0.024100
0.00024024	0.140000	0.024100
0.00025184	0.140000	0.024100
0.00026333	0.140000	0.024100
0.00027481	4.140000	0.053200
0.00028655	4.140000	0.053200
0.00029802	4.140000	0.053200
0.00030965	4.220000	0.053900
0.00032144	4.220000	0.053900
0.00033284	4.220000	0.053700
0.00034427	4.220000	0.053700
0.00035584	4.220000	0.053700
0.00036741	4.140000	0.053600
0.00037899	4.140000	0.053600
0.00039065	4.140000	0.053600
0.00040218	9.720000	0.105300
0.00041403	9.720000	0.105300
0.00042543	9.720000	0.105300
0.00043699	9.720000	0.105300
0.00044847	7.580000	0.087100
0.00046020	7.580000	0.087100
0.00047179	7.580000	0.087100
0.00048321	4.140000	0.054000
0.00049486	4.140000	0.054000
0.00050655	4.140000	0.053700
0.00051810	4.140000	0.053700
0.00052963	4.140000	0.053700
0.00054145	4.220000	0.053900
0.00055322	4.220000	0.053900
0.00056481	4.220000	0.053900
0.00057630	4.140000	0.054100
0.00058801	4.140000	0.054100
0.00059962	4.140000	0.054100
0.00061126	4.140000	0.054100
0.00062280	4.220000	0.054100
0.00063457	4.220000	0.054100
0.00064630	4.140000	0.053600
0.00065757	4.140000	0.053600
0.00066914	4.140000	0.053600
0.00068072	4.220000	0.054000
0.00069231	4.220000	0.054000
0.00070407	4.220000	0.054000
0.00071566	4.140000	0.054000
0.00072718	4.140000	0.054000
0.00073896	4.140000	0.054000
0.00075059	4.140000	0.053400
0.00076201	4.140000	0.053400
0.00077346	4.140000	0.053400
0.00078517	4.140000	0.053400
0.00079704	4.220000	0.053600
0.00080855	4.220000	0.053600
0.00082028	17.520000	0.175400
0.00083203	17.520000	0.175400
0.00084381	17.520000	0.175400
0.00085516	21.020000	0.198400
0.00086689	21.020000	0.198400
0.00087836	21.020000	0.198400
0.00089006	21.240000	0.202200
0.00090134	21.240000	0.202200
0.00091301	21.240000	0.202200
0.00092449	21.240000	0.202200
0.00093613	21.240000	0.202200
0.00094767	21.240000	0.202200
0.00095918	21.240000	0.202200
0.00097081	29.680000	0.245800
0.00098244	29.680000	0.245800
0.00099413	30.180000	0.246000
0.00100568	30.180000	0.246000
0.00101721	30.180000	0.246000
0.00102859	30.250000	0.245900
0.00104045	30.250000	0.245900
0.00105177	30.250000	0.245900
0.00106333	30.180000	0.245600
0.00107487	30.180000	0.245600
0.00108654	30.180000	0.245600
0.00109825	30.180000	0.245600
0.00110965	30.040000	0.245200
0.00112124	30.040000	0.245200
0.00113304	30.040000	0.245200
0.00114441	30.110000	0.244900
0.00115597	30.110000	0.244900
0.00116758	30.110000	0.244700
0.00117910	30.110000	0.244700
0.00119051	30.110000	0.244700
0.00120251	19.090000	0.181900
0.00121376	19.090000	0.181900
0.00122556	19.090000	0.181900
0.00123693	18.450000	0.181300
0.00124856	18.450000	0.181300
0.00126028	18.450000	0.181300
0.00127175	18.450000	0.181300
0.00128333	18.090000	0.180400
0.00129499	18.090000	0.180400
0.00130652	23.880000	0.216400
0.00131808	23.880000	0.216400
0.00132964	23.880000	0.216400
0.00134110	29.540000	0.243600
0.00135311	29.540000	0.243600
0.00136425	29.540000	0.243600
0.00137584	29.820000	0.243000
0.00138738	29.820000	0.243000
0.00139904	29.820000	0.243000
0.00141078	29.460000	0.240800
0.00142269	29.460000	0.240800
0.00143403	29.460000	0.240800
0.00144573	29.460000	0.240800
0.00145750	29.610000	0.240900
0.00146913	29.610000	0.240900
0.00148059	29.750000	0.241400
0.00149219	29.750000	0.241400
0.00150398	29.750000	0.241400
0.00151530	29.680000	0.241300
0.00152683	29.680000	0.241300
0.00153839	29.680000	0.241300
0.00155007	30.040000	0.242600
0.00156153	30.040000	0.242600
0.00157329	30.040000	0.242600
0.00158500	30.040000	0.242700
0.00159650	30.040000	0.242700
0.00160793	30.040000	0.242700
0.00161957	30.040000	0.242700
0.00163098	19.090000	0.181400
0.00164262	19.090000	0.181400
0.00165412	19.090000	0.181400
0.00166579	19.090000	0.181400
0.00167730	19.090000	0.181400
0.00168896	18.090000	0.180500
0.00170057	18.090000	0.180500
0.00171185	18.090000	0.180500
0.00172390	22.740000	0.207900
0.00173535	22.740000	0.207900
0.00174681	22.740000	0.207900
0.00175855	32.400000	0.251700
0.00177028	32.400000	0.251700
