#Measurement data
#2022-07-04 08:49:55

#Time (days)	Power (W)	Current (A)
0.00001341	0.140000	0.024100
0.00002690	0.140000	0.024100
0.00003837	0.140000	0.024100
0.00005036	0.140000	0.024100
0.00006220	0.140000	0.024100
0.00007355	0.140000	0.023900
0.00008579	0.140000	0.023900
0.00009704	0.140000	0.023900
0.00010845	0.210000	0.024100
0.00016659	0.210000	0.024100
0.00020390	0.140000	0.024200
0.00020572	0.140000	0.023900
0.00025980	3.790000	0.051800
0.00029649	3.790000	0.051800
0.00029828	3.860000	0.052000
0.00030639	3.860000	0.052000
0.00031831	4.220000	0.055500
0.00032966	4.220000	0.055500
0.00035338	4.220000	0.055500
0.00035530	4.140000	0.055500
0.00036476	4.140000	0.055500
0.00038825	4.220000	0.055500
0.00039084	4.220000	0.055500
0.00046912	4.220000	0.055500
0.00050622	13.940000	0.146700
0.00050904	19.020000	0.190100
0.00055103	17.230000	0.190100
0.00073383	17.160000	0.178000
0.00077120	33.330000	0.262700
0.00077287	33.330000	0.262700
0.00078264	33.330000	0.262700
0.00079416	33.330000	0.262700
0.00080569	15.090000	0.084400
0.00081740	15.090000	0.084400
0.00082891	15.090000	0.084400
0.00084049	15.020000	0.084000
0.00085225	15.020000	0.084000
0.00086376	15.020000	0.084000
0.00092181	15.020000	0.084200
0.00092363	15.020000	0.084300
0.00093340	15.020000	0.084300
0.00094567	15.020000	0.085300
0.00095720	15.020000	0.085300
0.00098067	15.020000	0.085300
0.00098249	14.940000	0.084100
0.00099229	14.940000	0.084100
0.00100387	14.940000	0.084100
0.00101531	15.020000	0.084400
0.00102686	15.020000	0.084400
0.00103851	15.020000	0.084400
0.00105049	14.940000	0.084000
0.00106203	14.940000	0.084000
0.00107388	14.940000	0.084000
0.00108544	14.940000	0.083900
0.00109750	14.940000	0.083900
0.00110853	14.940000	0.083900
0.00111998	14.940000	0.084000
0.00113166	14.940000	0.084000
0.00114343	14.940000	0.084000
0.00115505	14.870000	0.083900
0.00116653	14.870000	0.083900
0.00117802	14.870000	0.083900
0.00118972	14.870000	0.084100
0.00120110	14.870000	0.084100
0.00121311	14.870000	0.083900
0.00122477	14.870000	0.083900
0.00123907	14.870000	0.083900
0.00124800	14.870000	0.083900
0.00125990	14.870000	0.083800
0.00127437	14.870000	0.083800
0.00128442	14.870000	0.083800
0.00129718	14.870000	0.083800
0.00131719	14.870000	0.083800
0.00132598	14.800000	0.083800
0.00132942	14.800000	0.083800
0.00134280	14.800000	0.083800
0.00135391	14.800000	0.083500
0.00136442	14.800000	0.083500
0.00137560	14.800000	0.083500
0.00138742	14.800000	0.083600
0.00139869	14.800000	0.083600
0.00141042	14.800000	0.083600
0.00142197	14.800000	0.083600
0.00143352	14.800000	0.084000
0.00144506	14.800000	0.084000
0.00145687	14.800000	0.084000
0.00146858	14.800000	0.084000
0.00147995	14.800000	0.084000
0.00149172	14.800000	0.084000
0.00150324	14.800000	0.084000
0.00151513	14.800000	0.084000
0.00152664	14.800000	0.083500
0.00153811	14.800000	0.083500
0.00154992	14.800000	0.083500
0.00156157	14.800000	0.083600
0.00157293	14.800000	0.083600
0.00158469	14.800000	0.083600
0.00159624	14.800000	0.083600
0.00160808	14.800000	0.083200
0.00161993	14.800000	0.083200
0.00163118	14.800000	0.083200
0.00164285	14.870000	0.083400
0.00165454	14.870000	0.083400
0.00166628	14.870000	0.083400
0.00167784	14.870000	0.083100
0.00168935	14.870000	0.083100
0.00170127	14.870000	0.083100
0.00171277	14.870000	0.083100
0.00172458	14.870000	0.083100
0.00174775	19.090000	0.180600
0.00174993	19.090000	0.180600
0.00175927	19.090000	0.180600
0.00177073	19.090000	0.180600
0.00178234	25.100000	0.232600
0.00179392	25.100000	0.232600
0.00180586	25.100000	0.232600
0.00181735	38.260000	0.326600
0.00182900	38.260000	0.326600
0.00184059	1992.130000	0.326600
0.00185230	1992.130000	8.577900
0.00186404	1992.130000	8.577900
0.00187565	1980.820000	8.532800
0.00188730	1980.820000	8.532800
0.00189913	1980.820000	8.532800
0.00191057	1335.310000	6.967000
0.00192219	1335.310000	6.967000
0.00193374	1335.310000	6.967000
0.00194517	1335.310000	6.967000
0.00195694	34.610000	0.272200
0.00196877	34.610000	0.272200
0.00198049	34.610000	0.272200
0.00199178	39.260000	0.309700
0.00200344	39.260000	0.309700
0.00201499	36.190000	0.287800
0.00202647	36.190000	0.287800
0.00203825	36.190000	0.287800
0.00204995	38.050000	0.322400
0.00206160	38.050000	0.322400
0.00207375	38.050000	0.322400
0.00208493	38.050000	0.322400
0.00209674	38.050000	0.327300
0.00210852	38.050000	0.327300
0.00211936	38.050000	0.327300
0.00213196	38.050000	0.325600
0.00214252	38.050000	0.325600
0.00215483	38.050000	0.325600
0.00216578	37.900000	0.319300
0.00217725	37.900000	0.319300
0.00218883	37.900000	0.321600
0.00220074	37.900000	0.321600
0.00221196	37.900000	0.321600
0.00222358	37.900000	0.321600
0.00223513	37.900000	0.321600
0.00224686	37.900000	0.321600
0.00225873	37.900000	0.321600
0.00226990	37.900000	0.320600
0.00228139	37.900000	0.320600
0.00229330	37.900000	0.320600
0.00230480	38.120000	0.318500
0.00231861	38.120000	0.318500
0.00232786	38.120000	0.318500
0.00233965	37.620000	0.314900
0.00235083	37.620000	0.314900
0.00236250	37.690000	0.317300
0.00237398	37.690000	0.317300
0.00238557	37.690000	0.317300
0.00239736	37.760000	0.306900
0.00240885	37.760000	0.306900
0.00242019	37.760000	0.306900
0.00243194	37.760000	0.306900
0.00244403	38.120000	0.305000
0.00245487	38.120000	0.305000
0.00246692	38.120000	0.305000
0.00247800	41.770000	0.355800
0.00248983	41.770000	0.355800
0.00250236	41.840000	0.355800
0.00251334	41.840000	0.356000
0.00252487	41.840000	0.356000
0.00253660	41.840000	0.355600
0.00254844	41.840000	0.355600
0.00256000	41.840000	0.355600
0.00257204	41.770000	0.357500
0.00258339	41.770000	0.357500
0.00259532	41.770000	0.357500
0.00260707	41.980000	0.360800
0.00261859	41.980000	0.360800
0.00262991	41.980000	0.360800
0.00264142	41.980000	0.360800
0.00268885	40.760000	0.331700
0.00272613	39.830000	0.340900
0.00272819	39.830000	0.340900
0.00274263	39.830000	0.340900
0.00274642	45.630000	0.389000
0.00275844	45.630000	0.389000
0.00276965	45.630000	0.389000
0.00278100	45.630000	0.389000
0.00279245	45.630000	0.388800
0.00280410	45.630000	0.388800
0.00281573	45.630000	0.388800
0.00282726	45.770000	0.397100
0.00283889	45.770000	0.397100
0.00285293	46.270000	0.399100
0.00286206	46.270000	0.399100
0.00287485	46.270000	0.399100
0.00288685	46.060000	0.398700
0.00290183	46.060000	0.398700
0.00290861	46.060000	0.398700
0.00292046	45.990000	0.397900
0.00293236	45.990000	0.397900
0.00294427	45.990000	0.397900
0.00295655	45.990000	0.397900
0.00296714	45.990000	0.397900
0.00297922	45.990000	0.397900
0.00299017	45.990000	0.397900
0.00300197	45.840000	0.398400
0.00301353	45.840000	0.398400
0.00302506	45.770000	0.393900
0.00303703	45.770000	0.393900
0.00304819	45.770000	0.393900
0.00306046	42.700000	0.352300
0.00307149	42.700000	0.352300
0.00308297	42.700000	0.352300
0.00312956	33.610000	0.266900
0.00313101	39.620000	0.337400
0.00314194	39.620000	0.337400
0.00325740	39.620000	0.337400
0.00325903	41.480000	0.355000
0.00328058	41.480000	0.355800
0.00331700	41.480000	0.355800
0.00331917	41.480000	0.356900
0.00332646	41.480000	0.356900
0.00333797	36.190000	0.290100
0.00334932	36.190000	0.290100
0.00336120	36.190000	0.290100
0.00337293	35.330000	0.302700
0.00338424	35.330000	0.302700
0.00340772	37.900000	0.330100
0.00340939	37.900000	0.330100
0.00341927	37.900000	0.330100
0.00343231	37.900000	0.330100
0.00344209	37.760000	0.320300
0.00345376	37.760000	0.320300
0.00346561	37.760000	0.320300
0.00347693	37.760000	0.320300
0.00348843	37.620000	0.317000
0.00350007	37.620000	0.317000
0.00351197	37.620000	0.318000
0.00352332	37.620000	0.318000
0.00353486	37.620000	0.318000
0.00354657	37.690000	0.320600
0.00355831	37.690000	0.320600
0.00357016	37.690000	0.320600
0.00358155	37.690000	0.320900
0.00359322	37.690000	0.320900
0.00360463	37.690000	0.320900
0.00361640	37.690000	0.320200
0.00362779	37.690000	0.320200
0.00363946	37.690000	0.320200
0.00365091	37.690000	0.321700
0.00366351	37.690000	0.321700
0.00367598	37.690000	0.321700
0.00368633	37.690000	0.321700
0.00369748	37.690000	0.321700
0.00370935	37.690000	0.321700
0.00372065	37.900000	0.322900
0.00373240	37.900000	0.322900
0.00374360	37.900000	0.322900
0.00375515	35.040000	0.277900
0.00376675	35.040000	0.277900
0.00377844	35.040000	0.277900
0.00378992	35.040000	0.277900
0.00380154	39.480000	0.331800
0.00381301	39.480000	0.331800
0.00382469	41.690000	0.358100
0.00383619	41.690000	0.358100
0.00384802	41.690000	0.358100
0.00385957	41.690000	0.362000
0.00387102	41.690000	0.362000
0.00388251	41.690000	0.362000
0.00389412	41.840000	0.361300
0.00390589	41.840000	0.361300
0.00391763	41.840000	0.361300
0.00392889	41.840000	0.363600
0.00394044	41.840000	0.363600
0.00395220	41.840000	0.363600
0.00396391	41.840000	0.363600
0.00397534	42.480000	0.361400
0.00398709	42.480000	0.361400
0.00399847	37.980000	0.302900
0.00401006	37.980000	0.302900
0.00402150	37.980000	0.302900
0.00403323	34.760000	0.275800
0.00404472	34.760000	0.275800
0.00405725	34.760000	0.275800
0.00406786	45.840000	0.389300
0.00408019	45.840000	0.389300
0.00409101	45.840000	0.389300
0.00410289	45.560000	0.386400
0.00411412	45.560000	0.386400
0.00412576	45.560000	0.386400
0.00413793	45.700000	0.386400
0.00414906	45.700000	0.393200
0.00416051	45.700000	0.393200
0.00417211	45.630000	0.394500
0.00418358	45.630000	0.394500
0.00419532	45.630000	0.394500
0.00420671	45.630000	0.389800
0.00421831	45.630000	0.389800
0.00422987	45.630000	0.389800
0.00424149	45.770000	0.397800
0.00425322	45.770000	0.397800
0.00426471	45.770000	0.397800
