#Measurement data
#2022-07-21 16:31:00

#Time (days)	Power (W)	Current (A)
0.00001791	3.710000	0.051300
0.00003098	3.710000	0.051300
0.00004249	3.710000	0.051300
0.00005427	3.710000	0.051300
0.00006578	3.710000	0.051300
0.00007729	3.710000	0.050900
0.00008897	3.710000	0.050900
0.00010047	3.710000	0.050900
0.00011194	3.710000	0.050800
0.00012366	3.710000	0.050800
0.00013514	3.710000	0.050800
0.00014668	3.710000	0.050800
0.00015846	3.710000	0.051000
0.00016985	3.710000	0.051000
0.00018145	3.790000	0.051300
0.00019303	3.790000	0.051300
0.00020458	3.790000	0.051300
0.00021624	3.710000	0.051000
0.00022759	3.710000	0.051000
0.00023942	3.710000	0.051000
0.00025088	4.140000	0.055500
0.00026241	4.140000	0.055500
0.00027389	4.140000	0.055500
0.00028571	4.140000	0.054500
0.00029709	4.140000	0.054500
0.00030867	4.140000	0.054500
0.00032043	4.140000	0.054500
0.00033212	4.070000	0.054400
0.00034368	4.070000	0.054400
0.00035519	3.790000	0.050800
0.00036669	3.790000	0.050800
0.00037817	3.790000	0.050800
0.00038987	3.790000	0.050800
0.00040146	3.790000	0.050800
0.00041296	3.790000	0.050800
0.00042444	3.790000	0.050900
0.00043611	3.790000	0.050900
0.00044775	3.790000	0.050900
0.00045934	3.710000	0.051400
0.00047088	3.710000	0.051400
0.00048242	3.710000	0.051400
0.00049390	3.710000	0.051400
0.00050571	3.710000	0.051200
0.00051707	3.710000	0.051200
0.00052873	3.710000	0.051000
0.00054053	3.710000	0.051000
0.00055188	3.710000	0.051000
0.00056344	3.790000	0.051700
0.00057516	3.790000	0.051700
0.00058662	3.790000	0.051700
0.00059826	3.710000	0.051100
0.00061008	3.710000	0.051100
0.00062162	3.710000	0.051100
0.00063321	3.710000	0.051100
0.00064485	3.710000	0.051000
0.00065678	3.710000	0.051000
0.00066810	3.710000	0.051200
0.00067998	3.710000	0.051200
0.00069148	3.710000	0.051200
0.00070309	3.710000	0.051400
0.00071484	3.710000	0.051400
0.00072659	3.710000	0.051400
0.00073806	3.790000	0.051500
0.00075145	3.790000	0.051500
0.00076134	3.790000	0.051500
0.00077289	3.790000	0.051500
0.00078465	3.790000	0.051500
0.00079603	3.790000	0.051500
0.00080757	3.790000	0.051500
0.00081917	3.790000	0.051400
0.00083073	3.790000	0.051400
0.00084229	3.790000	0.050700
0.00085385	3.790000	0.050700
0.00086541	3.790000	0.050700
0.00087701	8.580000	0.102200
0.00088860	8.580000	0.102200
0.00090024	8.580000	0.102200
0.00091194	8.580000	0.101100
0.00092325	8.580000	0.101100
