#Measurement data
#2022-07-25 14:20:06

#Time (days)	Power (W)	Current (A)
0.00000135	37.120000	0.274100
0.00001455	37.120000	0.274000
0.00002634	37.120000	0.274000
0.00003796	37.120000	0.274000
0.00004971	37.120000	0.274000
0.00006113	37.120000	0.274000
0.00007307	37.120000	0.274000
0.00008456	37.120000	0.274000
0.00009644	25.960000	0.214700
0.00010789	25.960000	0.214700
0.00011955	25.530000	0.213800
0.00013124	25.530000	0.213800
0.00014285	25.530000	0.213800
0.00015454	24.740000	0.212400
0.00016590	24.740000	0.212400
0.00017751	24.740000	0.212400
0.00018926	19.310000	0.181900
0.00020100	19.310000	0.181900
0.00021277	19.310000	0.181900
0.00022412	19.020000	0.181600
0.00023590	19.020000	0.181600
0.00024741	19.020000	0.181600
0.00025884	19.020000	0.181600
0.00027068	18.450000	0.181200
0.00028220	18.450000	0.181200
0.00029380	18.450000	0.181800
0.00030528	18.450000	0.181800
0.00031679	18.450000	0.181800
0.00032843	18.450000	0.181900
0.00033995	18.450000	0.181900
0.00035331	18.450000	0.181900
0.00036325	29.390000	0.243400
0.00037480	29.390000	0.243400
0.00038623	29.390000	0.243400
0.00039773	30.610000	0.244300
0.00040941	30.610000	0.244300
0.00042116	30.610000	0.244300
0.00043256	30.610000	0.244300
0.00044405	30.460000	0.243900
0.00045568	30.460000	0.243900
0.00046740	30.390000	0.243500
0.00047885	30.390000	0.243500
0.00049038	30.390000	0.243500
0.00050250	30.390000	0.243500
0.00051337	30.390000	0.243500
0.00052516	30.390000	0.243500
0.00053676	30.460000	0.243700
0.00054866	30.460000	0.243700
0.00055979	30.460000	0.243700
0.00057147	30.540000	0.244400
0.00058316	30.540000	0.244400
0.00059455	30.540000	0.244400
0.00060605	19.450000	0.182800
0.00061780	19.450000	0.182800
0.00062940	19.450000	0.182800
0.00064120	18.880000	0.182300
0.00065293	18.880000	0.182300
0.00066462	18.880000	0.182300
0.00067626	18.660000	0.182600
0.00068787	18.660000	0.182600
0.00069947	18.660000	0.182600
0.00071100	18.590000	0.182200
0.00072257	18.590000	0.182200
0.00073418	18.590000	0.182200
0.00074597	4.360000	0.055700
0.00075725	4.360000	0.055700
0.00076880	4.360000	0.055700
0.00078045	4.360000	0.055700
0.00079201	4.360000	0.055700
0.00080345	4.360000	0.055700
0.00081519	21.810000	0.198600
0.00082698	21.810000	0.198600
0.00083889	21.810000	0.198600
0.00085017	19.240000	0.186100
0.00086176	19.240000	0.186100
0.00087350	19.240000	0.186100
0.00088517	18.730000	0.182700
0.00089674	18.730000	0.182700
0.00090817	18.730000	0.182700
0.00091972	18.660000	0.182200
0.00093113	18.660000	0.182200
0.00094282	18.660000	0.182200
0.00095424	18.660000	0.182100
0.00096600	18.660000	0.182100
0.00097748	18.660000	0.182100
0.00098929	32.250000	0.249400
0.00100067	32.250000	0.249400
0.00101231	32.250000	0.249400
0.00102406	33.180000	0.254400
0.00103562	33.180000	0.254400
0.00104705	33.180000	0.254400
0.00105853	31.970000	0.248800
0.00107031	31.970000	0.248800
0.00108199	31.970000	0.248800
0.00109374	31.970000	0.248800
0.00110600	32.180000	0.249500
0.00111715	32.180000	0.249500
0.00112902	15.020000	0.084400
0.00114090	15.020000	0.084400
0.00115182	15.020000	0.084400
0.00116319	14.940000	0.084200
0.00117465	14.940000	0.084200
0.00118619	14.940000	0.084200
0.00119777	14.940000	0.084100
0.00120947	14.940000	0.084100
0.00122103	14.940000	0.084100
0.00123259	14.940000	0.084000
0.00124412	14.940000	0.084000
0.00125574	14.940000	0.084000
0.00126726	15.020000	0.083300
0.00127889	15.020000	0.083300
0.00129050	15.020000	0.083300
0.00130193	15.020000	0.083300
0.00131361	15.020000	0.083300
0.00132524	15.020000	0.083300
0.00133682	15.090000	0.083400
0.00134851	15.090000	0.083400
0.00135987	15.090000	0.083400
0.00137169	15.020000	0.083300
0.00138336	15.020000	0.083300
0.00139527	15.020000	0.083300
0.00140690	15.090000	0.083400
0.00141813	15.090000	0.083400
0.00143022	15.090000	0.083400
0.00144187	15.090000	0.083500
0.00145362	15.090000	0.083500
0.00146527	15.090000	0.083500
0.00147657	15.090000	0.083800
0.00148825	15.090000	0.083800
0.00150010	15.090000	0.083800
0.00151169	15.090000	0.083800
0.00152361	15.090000	0.083800
0.00153483	15.090000	0.083800
0.00154698	15.160000	0.083800
0.00155822	15.160000	0.083800
0.00156963	15.160000	0.083800
0.00158134	15.160000	0.083600
0.00159309	15.160000	0.083600
0.00160457	15.160000	0.083300
0.00161617	15.160000	0.083300
0.00162770	15.160000	0.083300
0.00163926	15.160000	0.083300
0.00165080	15.160000	0.083100
0.00166230	15.160000	0.083100
0.00167385	15.160000	0.083100
0.00168586	15.160000	0.083000
0.00169730	15.160000	0.083000
0.00170890	15.160000	0.083000
0.00172073	15.160000	0.083400
0.00173216	15.160000	0.083400
0.00174376	15.160000	0.083400
0.00175558	15.090000	0.083000
0.00176715	15.090000	0.083000
0.00177880	15.090000	0.083100
0.00179038	15.090000	0.083100
0.00180207	15.090000	0.083100
0.00181380	15.090000	0.083100
0.00182527	15.090000	0.082700
0.00183686	15.090000	0.082700
0.00184981	15.090000	0.082700
0.00186025	15.090000	0.083000
0.00187174	15.090000	0.083000
0.00188343	15.090000	0.083000
0.00189590	15.090000	0.083300
0.00190712	15.090000	0.083300
0.00191892	14.940000	0.083300
0.00193020	14.940000	0.082800
0.00194196	14.940000	0.082800
0.00195340	14.940000	0.082800
0.00196486	14.940000	0.082800
0.00197669	14.940000	0.082800
0.00198816	14.940000	0.082800
0.00200002	15.020000	0.082900
0.00201154	15.020000	0.082900
0.00202300	15.020000	0.082900
0.00203462	15.090000	0.082900
0.00204638	15.090000	0.082900
0.00205807	15.090000	0.082900
0.00206946	15.020000	0.082800
0.00208103	15.020000	0.082800
0.00209288	14.230000	0.110100
0.00210446	14.230000	0.110100
0.00211620	14.230000	0.110100
0.00212770	18.950000	0.169800
0.00213956	18.950000	0.169800
0.00215083	18.950000	0.169800
0.00216288	18.950000	0.169800
0.00217444	37.260000	0.298900
0.00218604	37.260000	0.298900
0.00219753	37.260000	0.298900
0.00220917	37.260000	0.297200
0.00222072	37.260000	0.297200
0.00223231	37.260000	0.297200
0.00224394	2029.960000	8.641200
0.00225554	2029.960000	8.641200
0.00226698	2029.960000	8.641200
0.00227838	2029.960000	8.641200
0.00229037	2029.960000	8.641200
0.00230170	36.330000	0.275800
0.00231330	36.330000	0.275800
0.00232488	36.330000	0.275800
0.00233645	36.330000	0.275800
0.00234799	35.330000	0.265100
0.00235966	35.330000	0.265100
0.00237126	35.330000	0.265100
0.00238296	38.550000	0.285500
0.00239475	38.550000	0.285500
0.00240593	35.970000	0.285500
0.00241741	35.970000	0.263500
0.00242909	35.970000	0.263500
0.00244060	37.260000	0.294400
0.00245215	37.260000	0.294400
0.00246373	37.260000	0.294400
0.00247534	37.260000	0.294400
0.00248679	212.640000	2.580100
0.00249862	212.640000	2.580100
0.00251017	212.640000	2.580100
0.00252163	2029.030000	8.633000
0.00253319	2029.030000	8.633000
0.00254470	2029.030000	8.633000
0.00255625	2023.810000	8.611200
0.00256795	2023.810000	8.611200
0.00257947	2018.520000	8.595300
0.00259118	2018.520000	8.595300
0.00260266	2018.520000	8.595300
0.00261425	2021.090000	8.600700
0.00262566	2021.090000	8.600700
0.00263762	2021.090000	8.600700
0.00264896	2021.090000	8.600700
0.00266054	2028.030000	8.609600
0.00267227	2028.030000	8.609600
0.00268362	2028.030000	8.609600
0.00269559	2031.040000	8.623900
0.00270769	2031.040000	8.623900
0.00271870	2031.040000	8.623900
0.00273056	2033.180000	8.628600
0.00274253	2033.180000	8.628600
0.00275318	2032.890000	8.628600
0.00276495	2032.890000	8.628600
0.00277618	2032.890000	8.628600
0.00278793	2032.890000	8.628600
0.00279957	2031.610000	8.627300
0.00281106	2031.610000	8.627300
0.00282297	2031.610000	8.627300
0.00283417	2025.530000	8.611500
0.00284563	2025.530000	8.611500
0.00285734	2025.530000	8.611500
0.00286889	2022.670000	8.599700
0.00288086	2022.670000	8.599700
0.00289227	2025.170000	8.611100
0.00290362	2025.170000	8.611100
0.00291523	2025.170000	8.611100
0.00292686	2027.530000	8.615700
0.00293872	2027.530000	8.615700
0.00294999	2027.530000	8.615700
0.00296176	2027.530000	8.615700
0.00297318	2032.540000	8.625800
0.00298476	2032.540000	8.625800
0.00299675	2032.540000	8.625800
0.00300895	2032.540000	8.625800
0.00302014	2032.540000	8.625800
0.00303178	2032.540000	8.625800
0.00304350	2042.120000	8.647400
0.00305488	2042.120000	8.647400
0.00306664	2039.330000	8.642200
0.00307832	2039.330000	8.642200
0.00308983	2039.330000	8.642200
0.00310130	2037.040000	8.637200
0.00311308	2037.040000	8.637200
0.00312477	2037.040000	8.637200
0.00313619	2037.040000	8.637200
0.00314784	2040.620000	8.644600
0.00315931	2040.620000	8.644600
0.00317097	2040.620000	8.644600
0.00318250	2039.980000	8.644700
0.00319398	2039.980000	8.644700
0.00320579	2039.980000	8.644700
0.00321740	2033.400000	8.621700
0.00322888	2033.400000	8.621700
0.00324056	2024.880000	8.608700
0.00325219	2024.880000	8.608700
0.00326372	2024.880000	8.608700
0.00327522	2024.450000	8.609600
0.00328689	2024.450000	8.609600
0.00329877	2024.450000	8.609600
0.00331029	2024.450000	8.609600
0.00332172	2029.320000	8.620400
0.00333318	2029.320000	8.620400
0.00334500	2029.320000	8.620400
0.00335645	2028.030000	8.617300
0.00336816	2028.030000	8.617300
0.00337963	2032.750000	8.617300
0.00339131	2032.750000	8.627200
0.00340304	2032.750000	8.627200
0.00341461	2026.670000	8.614600
0.00342603	2026.670000	8.614600
0.00343765	2026.670000	8.614600
0.00344920	2018.160000	8.597400
0.00346090	2018.160000	8.597400
0.00347225	2018.160000	8.597400
0.00348396	2018.160000	8.597400
0.00349590	2018.520000	8.598500
0.00350799	2018.520000	8.598500
0.00351880	2018.520000	8.598500
0.00353075	2021.590000	8.604700
0.00354281	2021.590000	8.604700
0.00355368	2024.240000	8.610200
0.00356531	2024.240000	8.610200
0.00357703	2024.240000	8.610200
0.00358851	2034.750000	8.631400
0.00360002	2034.750000	8.631400
0.00361174	2034.750000	8.631400
0.00362322	2035.830000	8.634200
0.00363481	2035.830000	8.634200
0.00364630	2035.830000	8.634200
0.00365807	2035.830000	8.634200
0.00366984	2029.680000	8.621500
0.00368153	2029.680000	8.621500
0.00369301	2029.680000	8.621500
0.00370492	2024.380000	8.610100
0.00371632	2024.380000	8.610100
0.00372785	2024.380000	8.610100
0.00373940	2024.380000	8.610100
0.00375093	2024.380000	8.610100
0.00376269	2027.530000	8.616800
0.00377418	2027.530000	8.616800
0.00378581	2027.530000	8.616800
0.00379748	2027.530000	8.616800
0.00380889	2030.750000	8.623600
0.00382057	2030.750000	8.623600
0.00383220	2030.750000	8.623600
0.00384367	2010.010000	8.579800
0.00385523	2010.010000	8.579800
0.00386692	2013.940000	8.579800
0.00387856	2013.940000	8.588400
0.00389072	2013.940000	8.588400
0.00390175	2016.010000	8.593000
0.00391333	2016.010000	8.593000
0.00392480	2016.010000	8.593000
0.00393635	2018.380000	8.598100
0.00394799	2018.380000	8.598100
0.00395954	2018.380000	8.598100
0.00397103	2018.380000	8.598100
0.00398262	2037.620000	8.638400
0.00399434	2037.620000	8.638400
0.00400622	2037.620000	8.638400
0.00401789	2037.620000	8.637700
0.00402918	2037.620000	8.637700
0.00404091	2037.190000	8.636400
0.00405264	2037.190000	8.636400
0.00406413	2037.190000	8.636400
0.00407556	2033.820000	8.629300
0.00408723	2033.820000	8.629300
0.00409880	2033.820000	8.629300
0.00411056	2032.680000	8.626700
0.00412245	2032.680000	8.626700
0.00413422	2032.680000	8.626700
0.00414571	2032.680000	8.626700
0.00415734	2034.970000	8.631300
0.00416890	2034.970000	8.631300
0.00418041	2034.970000	8.631300
0.00419193	2034.900000	8.631100
0.00420356	2034.900000	8.631100
0.00421503	2029.530000	8.619800
0.00422671	2029.530000	8.619800
0.00423821	2029.530000	8.619800
0.00425122	2026.670000	8.614100
0.00426205	2026.670000	8.614100
0.00427304	2026.670000	8.614100
0.00428497	2024.960000	8.612300
0.00429644	2024.960000	8.612300
0.00430801	2024.960000	8.612300
0.00431970	2024.960000	8.612300
0.00433112	2028.390000	8.617400
0.00434287	2028.390000	8.617400
0.00435448	2032.540000	8.636500
0.00436576	2032.540000	8.636500
0.00437750	2032.540000	8.636500
0.00438882	2030.610000	8.634500
