#Measurement data
#2022-07-23 17:09:05

#Time (days)	Power (W)	Current (A)
0.00001948	3.710000	0.051700
0.00003287	3.710000	0.051900
0.00004425	3.710000	0.051900
0.00005620	3.710000	0.051900
0.00006786	3.710000	0.051900
0.00007899	3.710000	0.052100
0.00009090	3.710000	0.052100
0.00010222	3.710000	0.051800
0.00011374	3.710000	0.051800
0.00016047	3.710000	0.051800
0.00016229	3.710000	0.052800
0.00017172	3.710000	0.052700
0.00018359	3.710000	0.052700
0.00019514	3.710000	0.052700
0.00020722	3.710000	0.053300
0.00021837	3.710000	0.053300
0.00022980	3.710000	0.053300
0.00024157	3.710000	0.051400
0.00028837	3.710000	0.051400
0.00029065	3.710000	0.051400
0.00029971	3.710000	0.051400
0.00031117	3.930000	0.054200
0.00032252	3.930000	0.054200
0.00033410	3.930000	0.054200
0.00034595	4.140000	0.057600
0.00035769	4.140000	0.057600
0.00061189	4.140000	0.057600
0.00061377	29.750000	0.249500
0.00065981	33.540000	0.270600
0.00066182	32.470000	0.265000
0.00067134	32.470000	0.265000
0.00068301	32.470000	0.265000
0.00072978	32.610000	0.264900
0.00073204	4.290000	0.057700
0.00074102	4.290000	0.057700
0.00075289	4.290000	0.057700
0.00076464	4.360000	0.057600
0.00077630	4.360000	0.057600
0.00078781	4.360000	0.057600
0.00079961	4.290000	0.057600
0.00081098	4.290000	0.057600
0.00083472	4.290000	0.057800
0.00083672	4.290000	0.057800
0.00084637	4.290000	0.057800
0.00085787	4.290000	0.057800
0.00086984	4.290000	0.057500
0.00088138	4.290000	0.057500
0.00089287	4.290000	0.058000
0.00090428	4.290000	0.058000
0.00091653	4.290000	0.058000
0.00092777	4.290000	0.058000
0.00093897	4.290000	0.058000
0.00095062	4.290000	0.058000
0.00096218	4.290000	0.058000
0.00097409	4.290000	0.058300
0.00098588	4.290000	0.058300
0.00099745	4.290000	0.058300
0.00101257	4.360000	0.058200
0.00102010	4.360000	0.058200
0.00127506	4.360000	0.058200
0.00135626	14.510000	0.084200
0.00136998	14.510000	0.084000
0.00137275	14.510000	0.084000
0.00137969	14.510000	0.084000
0.00139131	14.510000	0.084000
0.00140266	14.510000	0.084000
0.00141448	14.510000	0.083900
0.00146124	14.510000	0.083900
0.00146318	14.510000	0.084300
0.00147271	14.510000	0.084300
0.00148431	14.510000	0.084300
0.00149591	14.510000	0.084600
0.00150727	14.510000	0.084600
0.00151916	14.510000	0.084600
0.00153078	14.510000	0.084700
0.00154260	14.510000	0.084700
0.00155451	14.510000	0.084600
0.00156566	14.510000	0.084600
0.00157741	14.510000	0.084600
0.00158910	14.510000	0.084500
0.00160069	14.510000	0.084500
0.00161244	14.510000	0.084500
0.00162370	14.510000	0.084500
0.00163596	14.510000	0.084000
0.00164721	14.510000	0.084000
0.00165921	14.510000	0.084000
0.00168238	14.510000	0.083800
0.00168512	14.510000	0.083800
0.00169390	14.510000	0.083800
0.00170530	14.510000	0.083700
0.00171670	14.510000	0.083700
0.00172811	14.590000	0.083800
0.00173999	14.590000	0.083800
0.00176323	14.510000	0.083700
0.00176541	14.510000	0.083700
0.00177471	14.510000	0.083700
0.00179823	14.510000	0.083700
0.00180035	14.510000	0.083700
0.00184438	14.590000	0.084600
0.00196256	14.590000	0.084600
0.00200848	14.440000	0.084800
0.00201081	14.440000	0.084800
0.00201831	14.440000	0.084900
0.00202994	14.440000	0.084900
0.00204156	14.370000	0.083700
0.00205316	14.370000	0.083700
0.00206458	14.370000	0.083700
0.00207648	16.230000	0.177000
0.00208794	16.230000	0.177000
0.00209995	16.230000	0.177000
0.00211150	16.230000	0.177000
0.00212265	18.160000	0.183600
0.00213456	18.160000	0.183600
0.00214584	18.160000	0.183600
0.00215751	35.900000	0.319600
0.00216942	35.900000	0.319600
0.00218074	35.900000	0.319600
0.00219253	37.900000	0.333600
0.00220400	37.900000	0.333600
0.00225061	1929.540000	8.429600
0.00226448	1929.760000	8.416800
0.00227846	1929.760000	8.416800
0.00228082	1929.760000	8.416800
0.00228528	1929.760000	8.416800
0.00229672	31.110000	0.261600
0.00230846	31.110000	0.261600
0.00231981	31.110000	0.261600
0.00234333	27.960000	0.237800
0.00234553	27.960000	0.237800
0.00235484	28.960000	0.242900
0.00236634	28.960000	0.242900
0.00237782	28.960000	0.242900
0.00238966	26.750000	0.231600
0.00240117	26.750000	0.231600
0.00241251	26.750000	0.231600
0.00243580	27.750000	0.250100
0.00243795	27.750000	0.250100
0.00244745	27.750000	0.250100
0.00245942	27.750000	0.250100
0.00247061	27.750000	0.249500
0.00251703	27.750000	0.249500
0.00251941	27.460000	0.246900
0.00252875	27.530000	0.247800
0.00255181	27.530000	0.247800
0.00255404	27.530000	0.247800
0.00256343	27.530000	0.247600
0.00257505	27.530000	0.247600
0.00258679	27.530000	0.247600
0.00259891	27.390000	0.247700
0.00260991	27.390000	0.247700
0.00262164	27.390000	0.247700
0.00263301	27.390000	0.247700
0.00264458	4.290000	0.058300
0.00265632	4.290000	0.058300
0.00266828	4.290000	0.058300
0.00268346	20.810000	0.202300
0.00269161	20.810000	0.202300
0.00270314	33.040000	0.308000
0.00271455	33.040000	0.308000
0.00272983	33.040000	0.308000
0.00273750	19.740000	0.202700
0.00283736	19.740000	0.202700
0.00285209	36.970000	0.319500
0.00285354	36.970000	0.319500
0.00286532	36.970000	0.319500
0.00287674	36.120000	0.318000
0.00288866	36.120000	0.318000
0.00290014	36.120000	0.318000
0.00291148	35.540000	0.315900
0.00292304	35.540000	0.315900
0.00293471	35.540000	0.315900
0.00294655	35.610000	0.312000
0.00297207	35.610000	0.312000
0.00318601	33.830000	0.278500
0.00318803	38.900000	0.345700
0.00319021	38.900000	0.345700
0.00320184	38.900000	0.345700
0.00332956	38.900000	0.345700
