#Measurement data
#2022-05-27 09:05:06

#Time (days)	Power (W)	Current (A)
0.00000147	0.070000	0.006500
0.00001472	0.070000	0.006500
0.00002608	0.070000	0.006500
0.00003775	0.070000	0.006500
0.00004929	0.070000	0.006500
0.00006086	0.070000	0.006600
0.00007256	0.070000	0.006600
0.00008394	0.070000	0.006600
0.00009541	0.070000	0.006400
0.00010711	0.070000	0.006400
0.00011873	0.070000	0.006400
0.00013032	0.070000	0.006400
0.00014192	0.070000	0.006500
0.00015326	0.070000	0.006500
0.00016494	0.070000	0.006500
0.00017663	0.070000	0.006600
0.00018865	0.070000	0.006600
0.00020022	0.140000	0.006500
0.00021162	0.140000	0.006500
0.00022319	0.140000	0.006500
0.00023505	0.070000	0.006500
0.00024639	0.070000	0.006500
0.00025797	0.070000	0.006500
0.00026942	0.070000	0.006600
0.00028111	0.070000	0.006600
0.00029259	0.070000	0.006600
0.00030416	0.070000	0.006600
0.00031583	0.070000	0.006500
0.00032734	0.070000	0.006500
0.00033876	0.070000	0.006500
0.00035050	0.070000	0.006500
0.00036205	0.070000	0.006500
0.00037367	0.070000	0.006600
0.00038531	0.070000	0.006600
0.00039671	0.070000	0.006600
0.00040833	0.070000	0.006500
0.00041993	0.070000	0.006500
0.00043150	0.070000	0.006500
0.00044303	0.070000	0.006400
0.00045459	0.070000	0.006400
0.00046611	0.070000	0.006400
0.00047792	0.070000	0.006400
0.00048951	0.070000	0.006500
0.00050083	0.070000	0.006500
0.00051243	0.070000	0.006500
0.00052417	0.070000	0.006700
0.00053574	0.070000	0.006700
0.00054730	0.070000	0.006600
0.00055874	0.070000	0.006600
0.00057061	0.070000	0.006600
0.00058201	0.070000	0.006600
0.00059367	0.070000	0.006600
0.00060508	0.070000	0.006600
0.00061664	0.070000	0.006600
0.00062837	0.070000	0.006600
0.00063970	0.070000	0.006600
0.00065123	0.070000	0.006600
0.00066304	0.070000	0.006500
0.00067454	0.070000	0.006500
0.00068620	0.070000	0.006500
0.00069771	0.070000	0.006600
0.00070927	0.070000	0.006600
0.00072095	0.070000	0.006600
0.00073259	0.070000	0.006600
0.00074463	0.070000	0.006600
0.00075611	0.070000	0.006600
0.00076765	0.070000	0.006600
0.00077932	0.070000	0.006600
0.00079100	0.140000	0.006600
0.00080244	0.140000	0.006600
0.00081385	0.140000	0.006600
0.00082546	0.140000	0.006600
0.00083699	0.070000	0.006600
0.00084877	0.070000	0.006600
0.00086037	0.070000	0.006600
0.00087177	0.070000	0.006700
0.00088375	0.070000	0.006700
0.00089544	9.010000	0.153300
0.00090686	9.010000	0.153300
0.00091878	9.010000	0.153300
0.00093017	9.940000	0.147300
0.00094225	9.940000	0.147300
0.00095378	9.940000	0.147300
0.00096513	7.790000	0.105000
0.00097678	7.790000	0.105000
0.00098833	7.790000	0.105000
0.00100008	12.440000	0.154400
0.00101215	12.440000	0.154400
0.00102313	12.440000	0.154400
0.00103477	10.220000	0.154400
0.00104632	10.220000	0.128600
0.00105795	10.220000	0.128600
0.00106957	10.080000	0.127300
0.00108105	10.080000	0.127300
0.00109260	10.080000	0.127300
0.00110443	10.080000	0.128300
0.00111606	10.080000	0.128300
0.00112750	10.080000	0.128300
0.00113941	10.010000	0.127600
0.00115103	10.010000	0.127600
0.00116270	10.010000	0.127600
0.00117439	7.650000	0.105600
0.00118616	7.650000	0.105600
0.00119764	7.650000	0.105600
0.00120906	4.500000	0.066900
0.00122069	4.500000	0.066900
0.00123226	4.500000	0.066900
0.00124377	4.500000	0.066500
0.00125580	4.500000	0.066500
0.00126744	4.500000	0.066500
0.00127903	4.430000	0.066600
0.00129078	4.430000	0.066600
0.00130221	4.430000	0.066600
0.00131409	4.430000	0.066900
0.00132569	4.430000	0.066900
0.00133723	4.430000	0.066900
0.00134877	4.430000	0.067200
0.00136031	4.430000	0.067200
0.00137196	4.430000	0.067200
0.00138366	4.500000	0.066900
0.00139495	4.500000	0.066900
0.00140654	4.500000	0.066900
0.00141824	4.430000	0.066700
0.00142981	4.430000	0.066700
0.00144139	4.430000	0.066700
0.00145285	4.430000	0.066700
0.00146464	4.430000	0.066700
0.00147609	4.430000	0.066700
0.00148758	6.150000	0.101900
0.00149924	6.150000	0.101900
0.00151083	6.150000	0.101900
0.00152215	6.150000	0.101900
0.00153390	12.370000	0.148300
0.00154558	12.370000	0.148300
0.00155705	11.940000	0.144300
0.00156868	11.940000	0.144300
0.00158015	11.940000	0.144300
0.00159171	11.800000	0.144200
0.00160331	11.800000	0.144200
0.00161486	11.800000	0.144200
0.00162647	3.360000	0.052200
0.00163816	3.360000	0.052200
0.00164970	3.360000	0.052200
0.00166118	18.730000	0.114800
0.00167292	18.730000	0.114800
0.00168456	18.730000	0.114800
0.00169623	18.730000	0.114800
0.00170772	18.660000	0.114500
0.00171961	18.660000	0.114500
0.00173109	18.590000	0.114400
0.00174281	18.590000	0.114400
0.00175426	18.590000	0.114400
0.00176581	18.450000	0.113700
0.00177748	18.450000	0.113700
0.00178914	18.450000	0.113700
0.00180063	18.450000	0.113400
0.00181230	18.450000	0.113400
0.00182388	18.450000	0.113400
0.00183557	18.590000	0.114000
0.00184712	18.590000	0.114000
0.00185876	18.590000	0.114000
0.00187053	17.020000	0.106000
0.00188218	17.020000	0.106000
0.00189402	17.020000	0.106000
0.00190554	14.230000	0.091100
0.00191700	14.230000	0.091100
0.00192873	14.230000	0.091100
0.00194036	14.230000	0.091300
0.00195190	14.230000	0.091300
0.00196343	14.230000	0.091300
0.00197513	14.230000	0.091200
0.00198681	14.230000	0.091200
0.00199825	14.230000	0.091200
0.00200986	14.230000	0.091200
