#Measurement data
#16.05.2022 13:31:20

#Time (days)	Power (W)	Current (A)
0.000019	0.070000	0.006100
0.000032	0.070000	0.006100
0.000043	0.070000	0.006100
0.000055	0.070000	0.006100
0.000067	0.070000	0.006100
0.000078	0.070000	0.006100
0.000091	0.070000	0.006100
0.000104	0.070000	0.006200
0.000113	0.070000	0.006200
0.000126	0.070000	0.006200
0.000138	0.070000	0.006100
0.000150	0.070000	0.006100
0.000159	0.070000	0.006100
0.000171	0.070000	0.006100
0.000182	0.070000	0.006100
0.000194	0.070000	0.006200
0.000205	0.070000	0.006200
0.000217	0.070000	0.006200
0.000229	0.070000	0.006100
0.000241	0.070000	0.006100
0.000252	0.070000	0.006100
0.000264	0.070000	0.006100
0.000275	0.070000	0.006100
0.000289	0.070000	0.006100
0.000298	0.070000	0.006100
0.000310	0.070000	0.006100
0.000321	0.070000	0.006100
0.000333	0.070000	0.006100
0.000344	0.070000	0.006200
0.000356	0.070000	0.006200
0.000368	0.070000	0.006100
0.000380	0.070000	0.006100
0.000391	0.070000	0.006100
0.000403	0.070000	0.006100
0.000414	0.070000	0.006100
0.000426	0.070000	0.006100
0.000438	0.070000	0.006100
0.000449	8.440000	0.159400
0.000461	8.440000	0.159400
0.000473	8.440000	0.159400
0.000486	11.220000	0.165500
0.000496	11.220000	0.165500
0.000508	11.220000	0.165500
0.000519	3.430000	0.053500
0.000531	3.430000	0.053500
0.000543	3.000000	0.047300
0.000555	3.000000	0.047300
0.000566	3.000000	0.047300
0.000577	3.140000	0.049400
0.000589	3.140000	0.049400
0.000600	3.140000	0.049400
0.000612	3.140000	0.049400
0.000625	1.850000	0.035800
0.000636	1.850000	0.035800
0.000647	1.850000	0.035800
0.000658	0.070000	0.006100
0.000670	0.070000	0.006100
0.000681	0.070000	0.006100
0.000693	0.070000	0.006100
0.000704	0.070000	0.006100
0.000717	0.070000	0.006100
0.000763	0.070000	0.006100
0.000765	0.140000	0.006100
0.000787	0.140000	0.006100
0.000789	0.070000	0.006200
0.000797	0.070000	0.006200
0.000809	0.070000	0.006200
0.000821	0.070000	0.006200
0.000832	0.070000	0.006100
0.000844	0.070000	0.006100
0.000856	0.070000	0.006100
0.000868	0.070000	0.006100
0.000879	0.070000	0.006100
0.000891	0.070000	0.006200
0.000902	0.070000	0.006200
0.000914	0.070000	0.006200
0.000925	0.070000	0.006100
0.000937	0.070000	0.006100
0.000949	0.070000	0.006100
0.000960	0.070000	0.006100
0.000971	0.070000	0.006200
0.000983	0.070000	0.006200
0.000995	0.070000	0.006200
0.001006	0.070000	0.006200
0.001019	0.070000	0.006200
0.001030	0.070000	0.006100
0.001043	0.070000	0.006100
0.001053	0.070000	0.006100
0.001064	0.070000	0.006100
0.001077	0.070000	0.006100
0.001088	0.070000	0.006100
0.001100	0.070000	0.006100
0.001111	0.070000	0.006100
0.001123	0.070000	0.006100
0.001134	0.070000	0.006100
0.001145	0.070000	0.006100
0.001157	0.070000	0.006100
0.001168	0.070000	0.006100
0.001180	0.070000	0.006100
0.001193	0.070000	0.006100
0.001204	0.070000	0.006100
0.001215	0.070000	0.006100
0.001227	0.070000	0.006100
0.001238	3.290000	0.039400
0.001250	3.290000	0.039400
0.001261	3.290000	0.039400
0.001273	7.360000	0.123900
0.001285	7.360000	0.123900
0.001296	7.360000	0.123900
0.001308	7.360000	0.123900
0.001319	15.870000	0.222100
0.001331	15.870000	0.222100
0.001344	15.870000	0.222100
0.001354	12.730000	0.159100
0.001366	12.730000	0.159100
0.001378	11.010000	0.136300
0.001389	11.010000	0.136300
0.001400	11.010000	0.136300
0.001412	10.510000	0.132100
0.001425	10.510000	0.132100
0.001436	10.510000	0.132100
0.001447	10.510000	0.131900
0.001458	10.510000	0.131900
0.001470	10.510000	0.131900
0.001482	10.510000	0.131900
0.001494	10.290000	0.130300
0.001505	10.290000	0.130300
0.001516	10.290000	0.130300
0.001528	8.650000	0.115400
0.001540	8.650000	0.115400
0.001551	4.570000	0.068300
0.001563	4.570000	0.068300
0.001574	4.570000	0.068300
0.001586	4.640000	0.068700
0.001597	4.640000	0.068700
0.001609	4.640000	0.068700
0.001620	4.570000	0.068900
0.001632	4.570000	0.068900
0.001644	4.570000	0.068900
0.001655	4.570000	0.068900
0.001667	4.640000	0.068800
0.001678	4.640000	0.068800
0.001690	4.640000	0.068800
0.001703	4.570000	0.069000
0.001714	4.570000	0.069000
0.001725	4.570000	0.069400
0.001736	4.570000	0.069400
0.001748	4.570000	0.069400
0.001761	4.570000	0.068400
0.001772	4.570000	0.068400
0.001783	4.570000	0.068400
0.001830	12.010000	0.187100
0.001832	11.870000	0.143200
0.001842	11.870000	0.143200
0.002096	11.870000	0.143200
0.002099	19.660000	0.118700
0.002108	19.740000	0.118400
0.002120	19.740000	0.118400
0.002131	19.740000	0.118400
0.002143	19.590000	0.118000
0.002154	19.590000	0.118000
0.002166	19.590000	0.118000
0.002178	19.590000	0.118000
0.002189	19.740000	0.118100
0.002201	19.740000	0.118100
0.002212	15.020000	0.094800
0.002224	15.020000	0.094800
0.002236	15.020000	0.094800
0.002247	15.020000	0.094600
0.002259	15.020000	0.094600
0.002270	15.020000	0.094600
0.002282	14.940000	0.094200
0.002293	14.940000	0.094200
0.002305	14.940000	0.094200
0.002318	14.940000	0.094200
0.002329	14.940000	0.094200
0.002340	14.940000	0.094200
0.002351	14.940000	0.094200
0.002363	14.940000	0.094300
0.002375	14.940000	0.094300
0.002386	14.940000	0.094200
0.002398	14.940000	0.094200
0.002409	14.940000	0.094200
0.002421	28.610000	0.269900
0.002433	28.610000	0.269900
0.002444	28.610000	0.269900
0.002456	45.410000	0.444600
0.002467	45.410000	0.444600
0.002479	45.410000	0.444600
0.002490	45.410000	0.444600
0.002502	14.870000	0.094200
0.002514	14.870000	0.094200
0.002526	14.870000	0.094200
0.002537	33.400000	0.295700
0.002550	33.400000	0.295700
0.002560	53.640000	0.536500
0.002572	53.640000	0.536500
0.002595	53.640000	0.536500
0.002597	53.780000	0.541500
0.002607	53.780000	0.541500
0.002618	53.780000	0.541500
0.002630	53.710000	0.538800
0.002641	53.710000	0.538800
0.002653	53.710000	0.538800
0.002665	53.710000	0.535900
0.002676	53.710000	0.535900
0.002688	53.710000	0.535900
0.002700	53.710000	0.535900
0.002711	50.640000	0.607600
0.002722	50.640000	0.607600
0.002734	51.640000	0.618700
0.002745	51.640000	0.618700
0.002760	51.640000	0.618700
0.002768	51.780000	0.619700
0.002780	51.780000	0.619700
0.002792	51.780000	0.619700
0.002803	51.850000	0.618400
0.002815	51.850000	0.618400
0.002827	51.850000	0.618400
0.002838	51.850000	0.618400
0.002849	51.710000	0.618600
0.002861	51.710000	0.618600
0.002873	51.780000	0.616900
0.002885	51.780000	0.616900
0.002896	51.780000	0.616900
0.002910	51.710000	0.614900
0.002921	51.710000	0.614900
0.002966	51.710000	0.614900
0.002968	51.780000	0.615500
0.002989	51.710000	0.619100
0.002991	51.710000	0.619100
0.003001	51.710000	0.619100
0.003011	51.710000	0.619100
0.003023	51.710000	0.617500
0.003035	51.710000	0.617500
0.003047	51.710000	0.614700
0.003058	51.710000	0.614700
0.003070	51.710000	0.614700
0.003081	51.780000	0.616400
0.003093	51.780000	0.616400
0.003105	51.780000	0.616400
0.003116	51.640000	0.615100
0.003128	51.640000	0.615100
0.003140	51.640000	0.615100
0.003151	51.710000	0.613200
0.003163	51.710000	0.613200
0.003174	51.710000	0.613200
0.003222	51.710000	0.613200
0.003224	51.710000	0.617900
0.003232	51.710000	0.617900
0.003244	51.710000	0.617900
0.003255	51.710000	0.617400
0.003267	51.710000	0.617400
0.003279	51.710000	0.617400
0.003290	2208.130000	9.447700
0.003302	2208.130000	9.447700
0.003325	2208.130000	9.447700
0.003328	2194.900000	9.391800
0.003337	2194.900000	9.391800
0.003349	2194.900000	9.391800
0.003360	2169.580000	9.280700
0.003372	2169.580000	9.280700
0.003383	2169.580000	9.280700
0.003395	2165.150000	9.268900
0.003406	2165.150000	9.268900
0.003418	2165.150000	9.268900
0.003429	2152.700000	9.242700
0.003441	2152.700000	9.242700
0.003452	2152.700000	9.242700
0.003464	2171.800000	9.337900
0.003475	2171.800000	9.337900
0.003487	2171.800000	9.337900
0.003499	2171.800000	9.337900
0.003510	2167.720000	9.315900
0.003522	2167.720000	9.315900
0.003533	2149.340000	9.218500
0.003545	2149.340000	9.218500
0.003557	2149.340000	9.218500
0.003568	2152.060000	9.218100
0.003580	2152.060000	9.218100
0.003591	2152.060000	9.218100
0.003603	2152.270000	9.215700
0.003614	2152.270000	9.215700
0.003626	2152.270000	9.215700
0.003638	2154.630000	9.219200
0.003649	2154.630000	9.219200
0.003661	2154.630000	9.219200
0.003672	2154.630000	9.219200
0.003684	2156.350000	9.220500
0.003696	2156.350000	9.220500
0.003708	2149.270000	9.206200
0.003719	2149.270000	9.206200
0.003730	2149.270000	9.206200
0.003742	2147.050000	9.201100
0.003754	2147.050000	9.201100
0.003765	2147.050000	9.201100
0.003777	2142.400000	9.190700
0.003788	2142.400000	9.190700
0.003800	2142.400000	9.190700
0.003812	2140.040000	9.184200
0.003823	2140.040000	9.184200
0.003835	2140.040000	9.184200
0.003846	2146.910000	9.195000
0.003858	2146.910000	9.195000
0.003869	2146.910000	9.195000
0.003881	2153.560000	9.204900
0.003893	2153.560000	9.204900
0.003904	2153.560000	9.204900
0.003916	2153.560000	9.203300
0.003927	2153.560000	9.203300
0.003939	2153.560000	9.203300
0.003950	2153.920000	9.202500
0.003962	2153.920000	9.202500
0.003973	2153.920000	9.202500
0.003985	2153.920000	9.202500
0.003997	2152.910000	9.199300
0.004011	2152.910000	9.199300
0.004020	2152.840000	9.197300
0.004032	2152.840000	9.197300
0.004043	2152.840000	9.197300
0.004055	2151.340000	9.193700
0.004066	2151.340000	9.193700
0.004078	2151.340000	9.193700
0.004092	2167.360000	9.263200
0.004101	2167.360000	9.263200
0.004112	2167.360000	9.263200
0.004124	2177.660000	9.324900
0.004136	2177.660000	9.324900
0.004148	2177.660000	9.324900
0.004159	2177.660000	9.324900
0.004170	2182.450000	9.350400
0.004183	2182.450000	9.350400
0.004194	2180.450000	9.346400
0.004205	2180.450000	9.346400
0.004217	2180.450000	9.346400
0.004229	2174.440000	9.333900
0.004240	2174.440000	9.333900
0.004252	2174.440000	9.333900
0.004263	2173.010000	9.329300
0.004275	2173.010000	9.329300
0.004286	2173.010000	9.329300
0.004298	2170.800000	9.324200
0.004310	2170.800000	9.324200
0.004357	2170.800000	9.324200
0.004359	2172.940000	9.324500
0.004367	2172.940000	9.324500
0.004379	2172.940000	9.324500
0.004391	2172.940000	9.324500
0.004402	2175.020000	9.326100
0.004414	2175.020000	9.326100
0.004425	2175.020000	9.326100
0.004437	2178.310000	9.328200
0.004449	2178.310000	9.328200
0.004460	2178.310000	9.328200
0.004471	2178.310000	9.328200
0.004483	2175.870000	9.323000
0.004494	2175.870000	9.323000
0.004506	2177.020000	9.323100
0.004517	2177.020000	9.323100
0.004529	2177.020000	9.323100
0.004541	2177.300000	9.321600
0.004553	2177.300000	9.321600
0.004564	2177.300000	9.321600
0.004576	2179.160000	9.322900
0.004588	2179.160000	9.322900
