#Measurement data
#2023-01-15 17:09:10

#Time (days)	Power (W)	Current (A)
0.00001826	0.070000	0.011700
0.00003146	0.070000	0.011900
0.00004362	0.070000	0.011900
0.00005476	0.070000	0.011900
0.00006637	0.070000	0.011900
0.00007797	0.070000	0.011800
0.00008971	0.070000	0.011800
0.00010243	0.070000	0.011800
0.00011280	0.070000	0.011800
0.00012427	0.070000	0.011800
0.00013612	0.070000	0.011800
0.00014786	0.070000	0.011900
0.00015942	0.070000	0.011900
0.00017111	0.070000	0.010800
0.00018256	0.070000	0.010800
0.00019420	0.070000	0.010800
0.00020568	0.070000	0.008000
0.00021792	0.070000	0.008000
0.00022878	0.070000	0.008000
0.00024031	0.070000	0.008000
0.00025207	0.070000	0.008200
0.00026347	0.070000	0.008200
0.00027597	0.070000	0.008200
0.00028666	1.210000	0.016400
0.00029850	1.210000	0.016400
0.00031016	1.210000	0.016400
0.00032215	1.710000	0.020800
0.00033454	1.710000	0.020800
0.00034505	1.710000	0.020800
0.00035657	1.710000	0.020800
0.00036777	1.710000	0.020800
0.00037963	1.710000	0.020700
0.00039119	1.710000	0.020700
0.00040272	1.710000	0.020700
0.00041407	1.710000	0.020700
0.00042565	1.710000	0.020700
0.00043742	1.710000	0.020700
0.00044896	1.710000	0.020700
0.00046049	1.710000	0.020900
0.00047211	1.710000	0.020900
0.00048353	1.780000	0.020900
0.00049510	1.780000	0.021100
0.00050711	1.780000	0.021100
0.00051884	1.780000	0.021400
0.00053020	1.780000	0.021400
0.00054176	1.780000	0.021400
0.00055359	1.780000	0.021200
0.00056524	1.780000	0.021200
0.00057681	1.780000	0.021200
0.00058836	1.780000	0.021200
0.00059995	1.780000	0.021700
0.00061156	1.780000	0.021700
0.00062311	1.780000	0.021700
0.00063468	1.780000	0.021600
0.00064616	1.780000	0.021600
0.00065788	1.780000	0.021800
0.00066928	1.780000	0.021800
0.00068090	1.780000	0.021800
0.00069253	1.780000	0.021800
0.00070440	1.780000	0.021800
0.00071566	1.780000	0.021800
0.00072712	1.780000	0.021700
0.00073887	1.780000	0.021700
0.00075061	1.780000	0.021700
0.00076278	1.780000	0.021700
0.00077370	1.780000	0.021700
0.00078523	1.780000	0.021700
0.00079706	1.780000	0.021700
0.00080883	1.780000	0.021500
0.00082013	1.780000	0.021500
0.00083186	1.780000	0.021600
0.00084351	1.780000	0.021600
0.00085506	1.780000	0.021600
0.00086655	1.780000	0.021600
0.00087840	1.780000	0.021600
0.00088978	1.780000	0.021600
0.00090149	1.780000	0.021800
0.00091302	1.780000	0.021800
0.00092440	1.780000	0.021800
0.00093619	1.780000	0.021800
0.00094771	1.780000	0.022100
0.00095946	1.780000	0.022100
0.00097058	1.780000	0.022100
0.00098236	1.430000	0.019000
0.00099399	1.430000	0.019000
0.00100547	1.430000	0.018500
0.00101715	1.430000	0.018500
0.00102872	1.430000	0.018500
0.00104028	1.430000	0.018200
0.00105189	1.430000	0.018200
0.00106343	1.430000	0.018200
0.00107490	1.430000	0.018200
0.00108697	1.850000	0.021800
0.00109863	1.850000	0.021800
0.00111043	1.850000	0.021800
0.00112150	1.570000	0.019700
0.00113439	1.570000	0.019700
0.00114450	1.570000	0.019700
0.00115611	1.640000	0.020100
0.00116762	1.640000	0.020100
0.00117905	1.640000	0.019800
0.00119206	1.640000	0.019800
0.00120237	1.640000	0.019800
0.00121411	2.070000	0.024200
0.00122550	2.070000	0.024200
0.00123723	2.070000	0.024200
0.00124862	2.070000	0.024200
0.00126021	1.850000	0.022600
0.00127179	1.850000	0.022600
0.00128310	1.850000	0.022600
0.00129483	3.290000	0.033600
0.00130645	3.290000	0.033600
0.00131806	3.570000	0.033600
0.00132962	3.570000	0.035600
0.00134100	3.570000	0.035600
0.00135273	3.140000	0.032400
0.00136441	3.140000	0.032400
0.00137609	3.140000	0.032400
0.00138749	3.500000	0.035100
0.00139900	3.500000	0.035100
0.00141133	3.500000	0.035100
0.00142228	3.500000	0.035100
0.00143387	3.430000	0.034700
0.00144534	3.430000	0.034700
0.00145704	3.430000	0.034700
0.00146866	3.360000	0.034200
0.00148032	3.360000	0.034200
0.00149178	3.500000	0.035300
0.00150353	3.500000	0.035300
0.00151516	3.500000	0.035300
0.00152633	3.500000	0.034800
0.00153808	3.500000	0.034800
0.00154947	3.500000	0.034800
0.00156148	3.290000	0.033300
0.00157304	3.290000	0.033300
0.00158478	3.290000	0.033300
0.00159619	3.290000	0.033300
0.00160782	3.290000	0.033300
0.00162036	3.290000	0.033300
0.00163111	3.290000	0.033300
0.00164251	3.570000	0.035400
0.00165405	3.570000	0.035400
0.00166568	3.290000	0.033400
0.00167772	3.290000	0.033400
0.00168880	3.290000	0.033400
0.00170015	3.500000	0.035000
0.00171194	3.500000	0.035000
0.00172339	3.500000	0.035000
0.00173516	3.570000	0.036000
0.00174674	3.570000	0.036000
0.00175841	3.570000	0.036000
0.00176999	3.570000	0.036000
0.00178156	3.360000	0.033900
0.00179340	3.360000	0.033900
0.00180509	3.360000	0.033900
0.00181654	3.500000	0.035200
0.00182844	3.500000	0.035200
0.00184003	3.360000	0.034300
0.00185154	3.360000	0.034300
0.00186288	3.360000	0.034300
0.00187456	3.500000	0.035200
0.00188613	3.500000	0.035200
0.00189800	3.500000	0.035200
0.00190931	3.500000	0.035300
0.00192126	3.500000	0.035300
0.00193383	3.500000	0.035300
0.00194410	3.500000	0.035300
0.00195567	3.000000	0.031700
0.00196706	3.000000	0.031700
0.00197860	3.000000	0.031700
0.00199020	3.070000	0.032100
0.00200192	3.070000	0.032100
0.00201336	3.210000	0.032900
0.00202503	3.210000	0.032900
0.00203664	3.210000	0.032900
0.00204826	3.000000	0.031000
0.00205972	3.000000	0.031000
0.00207139	3.000000	0.031000
0.00208291	3.140000	0.032700
0.00209456	3.140000	0.032700
0.00210646	3.140000	0.032700
0.00211830	3.140000	0.032700
0.00212962	2.860000	0.030400
0.00214130	2.860000	0.030400
0.00215265	2.860000	0.030400
0.00216446	3.000000	0.031200
0.00217613	3.000000	0.031200
0.00218770	3.140000	0.032600
0.00219889	3.140000	0.032600
0.00221072	3.140000	0.032600
0.00222235	3.140000	0.032700
0.00223399	3.140000	0.032700
0.00224551	3.140000	0.032700
0.00225697	3.070000	0.032000
0.00226872	3.070000	0.032000
0.00228023	3.070000	0.032000
0.00229175	3.070000	0.032000
0.00230333	3.000000	0.031100
0.00231465	3.000000	0.031100
0.00232686	3.000000	0.031100
0.00233799	3.000000	0.031100
0.00234964	3.000000	0.031100
0.00236109	3.070000	0.031800
0.00237286	3.070000	0.031800
0.00238431	3.070000	0.031800
0.00239595	2.930000	0.030800
0.00240725	2.930000	0.030800
0.00241895	2.930000	0.030800
0.00243113	3.070000	0.031400
0.00244220	3.070000	0.031400
0.00245370	3.070000	0.031400
0.00246538	3.070000	0.031400
0.00247681	3.140000	0.032500
0.00248872	3.140000	0.032500
0.00250013	3.140000	0.032500
0.00251170	3.070000	0.032200
0.00252326	3.070000	0.032200
0.00253514	3.290000	0.034200
0.00254663	3.290000	0.034200
0.00255836	3.290000	0.034200
0.00256977	2.360000	0.026800
0.00258137	2.360000	0.026800
0.00259302	2.360000	0.026800
0.00260456	1.640000	0.020700
0.00261623	1.640000	0.020700
0.00262794	1.640000	0.020700
0.00263962	1.640000	0.020700
0.00265079	1.710000	0.020700
0.00266241	1.710000	0.020700
0.00267392	1.710000	0.020700
0.00268559	2.930000	0.031600
0.00269762	2.930000	0.031600
0.00270898	1.710000	0.021000
0.00272064	1.710000	0.021000
0.00273273	1.710000	0.021000
0.00274369	1.710000	0.020700
0.00275508	1.710000	0.020700
0.00276691	1.710000	0.020700
0.00277884	1.640000	0.020800
0.00279032	1.640000	0.020800
0.00280190	1.640000	0.020800
0.00281340	1.640000	0.020800
0.00282505	1.710000	0.021400
0.00283649	1.710000	0.021400
0.00284822	1.850000	0.022900
0.00285965	1.850000	0.022900
0.00287133	1.850000	0.022900
0.00288300	1.930000	0.023000
0.00289441	1.930000	0.023000
0.00290603	1.930000	0.023000
0.00291755	2.280000	0.026200
0.00292909	2.280000	0.026200
0.00294069	2.280000	0.026200
0.00295252	2.210000	0.026200
0.00296410	2.210000	0.026200
0.00297556	2.210000	0.026200
0.00298707	2.210000	0.026200
0.00299859	2.280000	0.026100
0.00301105	2.280000	0.026100
0.00302181	2.280000	0.025900
0.00303340	2.280000	0.025900
0.00304502	2.280000	0.025900
0.00305657	2.280000	0.025900
0.00306808	2.280000	0.025900
0.00307975	2.280000	0.025900
0.00309153	2.280000	0.025600
0.00310307	2.280000	0.025600
0.00311491	2.280000	0.025600
0.00312625	2.280000	0.025800
0.00313779	2.280000	0.025800
0.00314950	2.280000	0.025800
0.00316119	2.280000	0.025800
0.00317274	2.280000	0.025700
0.00318442	2.280000	0.025700
0.00319595	2.280000	0.025600
0.00320784	2.280000	0.025600
0.00321926	2.280000	0.025600
0.00323072	2.280000	0.025600
0.00324270	2.280000	0.025600
0.00325406	2.280000	0.025600
0.00326573	2.280000	0.025600
0.00327729	2.280000	0.025600
0.00328903	2.280000	0.025600
0.00330039	2.280000	0.025600
0.00331205	2.280000	0.025600
0.00332370	2.280000	0.025600
0.00333550	2.280000	0.025600
0.00334771	2.280000	0.025600
0.00335883	2.280000	0.025600
0.00337054	2.280000	0.025700
0.00338213	2.280000	0.025700
0.00339363	2.280000	0.025700
0.00340547	2.280000	0.025800
0.00341671	2.280000	0.025800
0.00342853	2.280000	0.025800
0.00344014	2.280000	0.025700
0.00345211	2.280000	0.025700
0.00346367	2.280000	0.025700
0.00347516	2.280000	0.025700
0.00348722	2.280000	0.025700
0.00349876	2.280000	0.025700
0.00351088	2.280000	0.025700
0.00352203	2.280000	0.025700
0.00353373	2.280000	0.025700
0.00354541	1.930000	0.022500
0.00355641	1.930000	0.022500
0.00356808	1.930000	0.022500
0.00357990	1.850000	0.022500
0.00359146	1.850000	0.022500
0.00360306	1.850000	0.022500
0.00361466	1.930000	0.022600
0.00362623	1.930000	0.022600
0.00363786	1.930000	0.022600
0.00364964	1.930000	0.022400
0.00366100	1.930000	0.022400
0.00367256	1.930000	0.022400
0.00368440	1.930000	0.022400
0.00369745	1.930000	0.022600
0.00370747	1.930000	0.022600
0.00371912	2.140000	0.024800
0.00373079	2.140000	0.024800
0.00374247	2.140000	0.024800
0.00375380	1.210000	0.016100
0.00376532	1.210000	0.016100
0.00377722	1.210000	0.016100
0.00378890	1.210000	0.016100
0.00380027	1.210000	0.016100
0.00381193	1.210000	0.016100
0.00382347	1.640000	0.019900
0.00383516	1.640000	0.019900
0.00384693	1.640000	0.019900
0.00385822	1.640000	0.019900
0.00387015	1.210000	0.016200
0.00388146	1.210000	0.016200
0.00389308	1.280000	0.017000
0.00390505	1.280000	0.017000
0.00391627	1.280000	0.017000
0.00392825	1.350000	0.017100
0.00393968	1.350000	0.017100
