#Measurement data
#08.05.2022 14:09:48

#Time (days)	Power (W)	Current (A)
0.000002	25.170000	0.215500
0.000015	25.100000	0.214200
0.000026	25.100000	0.214200
0.000038	25.100000	0.213500
0.000050	25.100000	0.213500
0.000061	25.100000	0.213500
0.000073	25.170000	0.214100
0.000084	25.170000	0.214100
0.000096	25.170000	0.214100
0.000107	25.170000	0.214900
0.000119	25.170000	0.214900
0.000131	25.170000	0.214900
0.000142	25.100000	0.216100
0.000154	25.100000	0.216100
0.000165	25.100000	0.216100
0.000177	25.100000	0.216100
0.000188	25.100000	0.215100
0.000201	25.100000	0.215100
0.000212	25.030000	0.215000
0.000223	25.030000	0.215000
0.000235	25.030000	0.215000
0.000247	25.030000	0.214300
0.000258	25.030000	0.214300
0.000270	25.030000	0.214300
0.000281	25.100000	0.214800
0.000293	25.100000	0.214800
0.000304	25.100000	0.214800
0.000316	25.030000	0.216100
0.000327	25.030000	0.216100
0.000339	25.030000	0.216100
0.000351	25.030000	0.216100
0.000362	25.030000	0.216100
0.000374	25.030000	0.216100
0.000385	24.670000	0.214100
0.000397	24.670000	0.214100
0.000409	24.670000	0.214100
0.000420	24.670000	0.213700
0.000432	24.670000	0.213700
0.000443	24.670000	0.213700
0.000455	24.390000	0.212300
0.000467	24.390000	0.212300
0.000478	24.390000	0.212300
0.000490	23.960000	0.208600
0.000502	23.960000	0.208600
0.000514	24.240000	0.210900
0.000526	24.240000	0.210900
0.000537	24.240000	0.210900
0.000549	24.240000	0.210900
0.000560	24.240000	0.211700
0.000572	24.240000	0.211700
0.000583	24.240000	0.211700
0.000595	24.310000	0.211200
0.000607	24.310000	0.211200
0.000618	24.310000	0.211200
0.000630	24.240000	0.209300
0.000641	24.240000	0.209300
0.000653	24.240000	0.209300
0.000665	24.240000	0.208800
0.000676	24.240000	0.208800
0.000688	24.240000	0.208800
0.000699	24.240000	0.208100
0.000711	24.240000	0.208100
0.000723	24.240000	0.208100
0.000734	24.030000	0.207200
0.000746	24.030000	0.207200
0.000757	24.030000	0.207200
0.000769	24.810000	0.213900
0.000780	24.810000	0.213900
0.000792	24.810000	0.213900
0.000804	24.890000	0.217100
0.000815	24.890000	0.217100
0.000827	24.890000	0.217100
0.000838	24.890000	0.215400
0.000850	24.890000	0.215400
0.000862	24.890000	0.215400
0.000873	24.890000	0.216000
0.000885	24.890000	0.216000
0.000896	24.890000	0.216000
0.000908	24.890000	0.214400
0.000920	24.890000	0.214400
0.000932	24.890000	0.214400
0.000943	24.810000	0.212900
0.000955	24.810000	0.212900
0.000966	24.810000	0.212900
0.000978	24.810000	0.214600
