#Measurement data
#8-5-22 11:41:32

#Time (days)	Power (W)	Current (A)
0.000005	1.640000	0.079900
0.000021	1.640000	0.079900
0.000031	1.640000	0.079900
0.000042	1.640000	0.080000
0.000056	1.640000	0.080000
0.000064	1.710000	0.080200
0.000077	1.710000	0.080200
0.000088	1.710000	0.080200
0.000100	1.640000	0.080000
0.000112	1.640000	0.080000
0.000124	1.640000	0.080000
0.000135	1.640000	0.080100
0.000146	1.640000	0.080100
0.000158	1.640000	0.080100
0.000170	1.640000	0.080000
0.000183	1.640000	0.080000
0.000194	1.640000	0.080000
0.000204	1.640000	0.080000
0.000216	1.640000	0.080000
0.000228	1.640000	0.080000
0.000241	1.640000	0.080100
0.000250	1.640000	0.080100
0.000262	1.640000	0.080100
0.000275	1.640000	0.080100
0.000286	1.640000	0.080100
0.000297	1.640000	0.080100
0.000309	1.640000	0.080100
0.000320	1.640000	0.080100
0.000332	1.640000	0.080100
0.000344	50.710000	0.316900
0.000355	50.710000	0.316900
0.000367	50.710000	0.316900
0.000378	53.280000	0.327500
0.000390	53.280000	0.327500
0.000401	53.280000	0.327500
0.000413	51.920000	0.322100
0.000425	51.920000	0.322100
0.000437	51.920000	0.322100
0.000448	41.910000	0.279900
0.000459	41.910000	0.279900
0.000471	41.910000	0.279900
0.000483	41.480000	0.276000
0.000496	41.480000	0.276000
0.000505	41.480000	0.276000
0.000517	48.270000	0.306300
0.000529	48.270000	0.306300
0.000541	48.270000	0.306300
0.000553	39.830000	0.268300
0.000563	39.830000	0.268300
0.000575	39.830000	0.268300
0.000587	39.830000	0.267800
0.000599	39.830000	0.267800
0.000611	39.830000	0.267800
0.000621	39.690000	0.266100
0.000634	39.690000	0.266100
0.000645	39.690000	0.266100
0.000659	38.690000	0.261800
0.000668	38.690000	0.261800
0.000678	38.690000	0.261800
0.000690	38.830000	0.261300
0.000703	38.830000	0.261300
0.000716	38.830000	0.261300
0.000727	40.840000	0.274000
0.000736	40.840000	0.274000
0.000752	40.840000	0.274000
0.000764	43.840000	0.285000
0.000774	43.840000	0.285000
0.000784	43.840000	0.285000
0.000797	67.010000	0.387200
0.000808	67.010000	0.387200
0.000819	67.010000	0.387200
0.000830	40.760000	0.271400
0.000844	40.760000	0.271400
0.000855	32.970000	0.271400
0.000866	32.970000	0.271400
0.000876	32.970000	0.236900
0.000888	32.970000	0.236900
0.000900	72.590000	0.444900
0.000912	72.590000	0.444900
0.000925	72.590000	0.444900
0.000934	96.840000	0.502500
0.000948	96.840000	0.502500
0.000958	96.840000	0.502500
0.000970	71.090000	0.409000
0.000981	71.090000	0.409000
0.000992	71.090000	0.409000
0.001004	127.600000	0.638600
0.001016	127.600000	0.638600
0.001028	127.600000	0.638600
0.001039	127.600000	0.638600
0.001050	127.600000	0.638600
0.001062	127.600000	0.638600
0.001075	95.840000	0.497100
0.001088	95.840000	0.497100
0.001097	95.840000	0.497100
0.001109	70.590000	0.394300
0.001120	70.590000	0.394300
0.001131	70.590000	0.394300
0.001143	86.680000	0.467800
0.001155	86.680000	0.467800
0.001167	86.680000	0.467800
0.001179	78.030000	0.426100
0.001192	78.030000	0.426100
0.001204	74.380000	0.410900
0.001213	74.380000	0.410900
0.001225	74.380000	0.410900
0.001235	74.380000	0.410900
0.001247	135.610000	0.668800
0.001259	135.610000	0.668800
0.001271	135.610000	0.668800
0.001283	112.650000	0.577500
0.001298	112.650000	0.577500
0.001310	112.650000	0.577500
0.001322	104.350000	0.534200
0.001336	104.350000	0.534200
0.001341	104.350000	0.534200
0.001359	101.420000	0.522700
0.001363	101.420000	0.522700
0.001378	101.420000	0.522700
0.001389	98.630000	0.514800
0.001398	98.630000	0.514800
0.001410	98.630000	0.514800
0.001422	76.030000	0.417900
0.001433	76.030000	0.417900
0.001445	76.030000	0.417900
0.001456	67.230000	0.398500
0.001468	67.230000	0.398500
0.001481	67.230000	0.398500
0.001494	69.300000	0.393200
0.001503	69.300000	0.393200
0.001513	65.580000	0.393200
0.001524	65.580000	0.375400
0.001538	65.580000	0.375400
0.001549	65.580000	0.375400
0.001560	64.580000	0.371900
0.001572	64.580000	0.371900
0.001584	64.580000	0.371900
0.001596	77.030000	0.424100
0.001606	77.030000	0.424100
0.001618	77.030000	0.424100
0.001631	76.100000	0.418700
0.001642	76.100000	0.418700
0.001653	76.100000	0.418700
0.001664	74.020000	0.409600
0.001676	74.020000	0.409600
0.001688	66.300000	0.379100
0.001700	66.300000	0.379100
0.001711	66.300000	0.379100
0.001722	66.300000	0.379100
0.001734	65.150000	0.371100
0.001746	65.150000	0.371100
0.001758	65.150000	0.371100
0.001769	65.150000	0.371100
0.001784	65.150000	0.371100
0.001795	65.150000	0.371100
0.001805	75.960000	0.417800
0.001815	75.960000	0.417800
0.001827	75.960000	0.417800
0.001839	100.130000	0.526500
0.001850	100.130000	0.526500
0.001861	78.320000	0.424600
0.001887	78.320000	0.424600
0.001892	78.320000	0.424600
