#Measurement data
#2022-06-10 19:57:13

#Time (days)	Power (W)	Current (A)
0.00000145	2.070000	0.093400
0.00001447	2.070000	0.093400
0.00002740	2.000000	0.093400
0.00003764	2.000000	0.093400
0.00004927	2.000000	0.093400
0.00006102	2.070000	0.093400
0.00007263	2.070000	0.093400
0.00008416	2.070000	0.093400
0.00009582	2.000000	0.093500
0.00010741	2.000000	0.093500
0.00011917	2.000000	0.093500
0.00013084	2.000000	0.093500
0.00014235	2.000000	0.093500
0.00015391	2.000000	0.093300
0.00016575	2.000000	0.093300
0.00017742	2.000000	0.093300
0.00018888	2.000000	0.093300
0.00020024	2.000000	0.093300
0.00021228	2.000000	0.093300
0.00022388	2.000000	0.093300
0.00023544	2.000000	0.093300
0.00024716	2.000000	0.093300
0.00025907	2.000000	0.093300
0.00027042	2.000000	0.093300
0.00028194	2.000000	0.093300
0.00029372	2.070000	0.093100
0.00030527	2.070000	0.093100
0.00031684	2.070000	0.093100
0.00032875	2.070000	0.093300
0.00034012	2.070000	0.093300
0.00035191	2.070000	0.093300
0.00036343	2.070000	0.093300
0.00037502	2.070000	0.093400
0.00038653	2.070000	0.093400
0.00039815	2.070000	0.093400
0.00040979	2.000000	0.093500
0.00042126	2.000000	0.093500
0.00043284	2.000000	0.093600
0.00044448	2.000000	0.093600
0.00045598	2.000000	0.093600
0.00046752	2.000000	0.093600
0.00047926	2.000000	0.093600
0.00049073	2.000000	0.093600
0.00050228	2.000000	0.093400
0.00051385	2.000000	0.093400
0.00052561	2.000000	0.093400
0.00053713	2.000000	0.093400
0.00054870	2.000000	0.093500
0.00056028	2.000000	0.093500
0.00057187	2.000000	0.093500
0.00058344	2.070000	0.093400
0.00059521	2.070000	0.093400
0.00060685	2.000000	0.093500
0.00061843	2.000000	0.093500
0.00062978	2.000000	0.093500
0.00064147	2.000000	0.093400
0.00065338	2.000000	0.093400
0.00066486	2.000000	0.093400
0.00067645	2.000000	0.093400
0.00068810	2.000000	0.093400
0.00069963	2.000000	0.093400
0.00071109	2.000000	0.093400
0.00072300	2.070000	0.093400
0.00073453	2.070000	0.093400
0.00074608	2.000000	0.093400
0.00075767	2.000000	0.093400
0.00076922	2.000000	0.093400
0.00078074	2.000000	0.093200
0.00079255	2.000000	0.093200
0.00080442	2.000000	0.093200
0.00081598	2.000000	0.093400
0.00082781	2.000000	0.093400
0.00083966	2.000000	0.093400
0.00085106	2.000000	0.093200
0.00086267	2.000000	0.093200
0.00087463	2.000000	0.093200
0.00088632	2.000000	0.093200
0.00089788	2.070000	0.093300
0.00090959	2.070000	0.093300
0.00092078	2.000000	0.093300
