#Measurement data
#2022-09-18 17:28:48

#Time (days)	Power (W)	Current (A)
0.00001780	0.210000	0.017300
0.00003069	0.210000	0.017400
0.00004230	0.210000	0.017400
0.00005394	0.210000	0.017400
0.00006560	0.210000	0.017400
0.00007701	0.210000	0.017400
0.00008863	0.210000	0.017400
0.00010017	0.350000	0.018000
0.00011175	0.350000	0.018000
0.00012339	0.350000	0.018000
0.00013491	0.210000	0.017400
0.00014653	0.210000	0.017400
0.00015804	0.210000	0.017400
0.00016969	0.210000	0.017400
0.00018127	0.210000	0.017400
0.00019277	0.210000	0.017400
0.00020433	0.210000	0.017200
0.00021596	0.210000	0.017200
0.00022745	0.210000	0.017200
0.00023918	0.210000	0.017200
0.00025065	0.280000	0.017400
0.00026303	0.280000	0.017400
0.00027382	0.280000	0.017500
0.00028547	0.280000	0.017500
0.00029696	0.280000	0.017500
0.00030847	0.210000	0.017300
0.00032012	0.210000	0.017300
0.00033169	0.210000	0.017300
0.00034329	0.210000	0.017200
0.00035480	0.210000	0.017200
0.00036638	0.210000	0.017200
0.00037802	0.210000	0.017200
0.00038951	0.210000	0.017200
0.00040119	0.210000	0.017200
0.00041270	0.210000	0.017200
0.00042457	28.030000	0.223000
0.00043584	28.030000	0.223000
0.00044750	29.250000	0.232400
0.00045907	29.250000	0.232400
0.00047053	29.250000	0.232400
0.00048219	29.610000	0.234600
0.00049370	29.610000	0.234600
0.00050534	29.610000	0.234600
0.00051697	29.180000	0.231200
0.00052843	29.180000	0.231200
0.00054000	29.180000	0.231200
0.00055161	29.180000	0.231200
0.00056323	29.460000	0.234800
0.00057475	29.460000	0.234800
0.00058690	29.460000	0.234800
0.00059824	29.180000	0.232600
0.00061014	29.180000	0.232600
0.00062116	29.390000	0.236500
0.00063318	29.390000	0.236500
0.00064416	29.390000	0.236500
0.00065572	29.390000	0.234900
0.00066729	29.390000	0.234900
0.00067896	29.390000	0.234900
0.00069050	29.460000	0.234800
0.00070208	29.460000	0.234800
0.00071362	29.460000	0.234800
0.00072519	29.460000	0.234800
0.00073672	29.250000	0.232300
0.00074834	29.250000	0.232300
0.00076009	29.250000	0.232300
0.00077145	29.320000	0.233600
0.00078306	29.320000	0.233600
0.00079470	29.390000	0.233400
0.00080623	29.390000	0.233400
0.00081791	29.390000	0.233400
0.00082934	29.390000	0.232600
0.00084095	29.390000	0.232600
0.00085245	29.390000	0.232600
0.00086411	29.460000	0.234700
0.00087571	29.460000	0.234700
0.00088728	29.460000	0.234700
0.00089880	29.460000	0.234700
0.00091042	29.610000	0.234700
0.00092189	29.610000	0.234700
0.00093358	29.180000	0.232200
0.00094515	29.180000	0.232200
0.00095670	29.180000	0.232200
0.00096824	29.250000	0.231600
0.00097993	29.250000	0.231600
0.00099142	29.250000	0.231600
0.00100296	28.610000	0.226600
0.00101450	28.610000	0.226600
0.00102618	28.610000	0.226600
0.00103773	28.610000	0.226600
0.00104929	28.390000	0.226600
0.00106086	28.390000	0.226600
0.00107240	28.390000	0.226600
0.00108400	28.460000	0.226200
0.00109560	28.460000	0.226200
0.00110716	28.460000	0.226200
0.00111874	28.460000	0.226200
0.00113032	28.460000	0.226200
0.00114192	27.820000	0.225200
0.00115346	27.820000	0.225200
0.00116506	27.820000	0.225200
0.00117656	27.820000	0.223400
0.00118814	27.820000	0.223400
0.00119973	27.820000	0.223400
0.00121137	27.820000	0.223400
0.00122291	27.820000	0.224300
0.00123447	27.820000	0.224300
0.00124605	27.820000	0.224300
0.00125767	27.890000	0.227300
0.00126916	27.890000	0.227300
0.00128076	27.820000	0.226400
0.00129231	27.820000	0.226400
0.00130387	27.820000	0.226400
0.00131547	27.820000	0.223900
0.00132704	27.820000	0.223900
0.00133862	27.820000	0.223900
0.00135016	27.820000	0.223300
0.00136179	27.820000	0.223300
0.00137347	27.820000	0.223300
0.00138487	27.820000	0.223300
0.00139648	27.750000	0.221300
