#Measurement data
#2022-05-22 10:04:26

#Time (days)	Power (W)	Current (A)
0.00000163	0.070000	0.036000
0.00001477	0.070000	0.036000
0.00002617	0.070000	0.036000
0.00003769	0.070000	0.036000
0.00004954	0.070000	0.036000
0.00006152	0.070000	0.035900
0.00007286	0.070000	0.035900
0.00008453	0.070000	0.035800
0.00009605	0.070000	0.035800
0.00010758	0.070000	0.035800
0.00011920	0.070000	0.036000
0.00013087	0.070000	0.036000
0.00014231	0.070000	0.036000
0.00015395	0.070000	0.036000
0.00016545	0.070000	0.036000
0.00017709	0.070000	0.036000
0.00018851	0.070000	0.036000
0.00020034	0.070000	0.036000
0.00021233	0.070000	0.036000
0.00022409	0.070000	0.036000
0.00023561	0.070000	0.036000
0.00024742	0.070000	0.036000
0.00025903	0.070000	0.035900
0.00027084	0.070000	0.035900
0.00028253	0.070000	0.035900
0.00029388	0.070000	0.036100
0.00030544	0.070000	0.036100
0.00031699	0.070000	0.036100
0.00032884	0.070000	0.036000
0.00034023	0.070000	0.036000
0.00035194	0.070000	0.036000
0.00036406	0.070000	0.036000
0.00037561	0.070000	0.036000
0.00038711	0.070000	0.036000
0.00039887	0.070000	0.036000
0.00041069	0.070000	0.036000
0.00042270	0.070000	0.036000
0.00043378	0.070000	0.036100
0.00044542	0.070000	0.036100
0.00045708	0.070000	0.036100
0.00046848	0.070000	0.035800
0.00048034	0.070000	0.035800
0.00049200	0.070000	0.035800
0.00050384	0.070000	0.036000
0.00051543	0.070000	0.036000
0.00052700	0.070000	0.036000
0.00053852	0.140000	0.036000
0.00055053	0.140000	0.036000
0.00056189	0.140000	0.036000
0.00057344	0.070000	0.036100
0.00058498	0.070000	0.036100
0.00059664	0.070000	0.036100
0.00060819	0.070000	0.036200
0.00061973	0.070000	0.036200
0.00063150	0.070000	0.036200
0.00064295	0.070000	0.036000
0.00065443	0.070000	0.036000
0.00066604	0.070000	0.036000
0.00067911	0.070000	0.036000
0.00068907	0.070000	0.036000
0.00070091	0.070000	0.036000
0.00071253	0.070000	0.036100
0.00072403	0.070000	0.036100
0.00073552	0.070000	0.036100
0.00074704	0.070000	0.036000
0.00075889	0.070000	0.036000
0.00077015	0.070000	0.036000
0.00078179	0.070000	0.036100
0.00079336	0.070000	0.036100
0.00080507	0.070000	0.036100
0.00081671	0.070000	0.036100
0.00082814	0.070000	0.036100
0.00083969	0.070000	0.036100
0.00085147	0.070000	0.036200
0.00086293	0.070000	0.036200
0.00087469	0.070000	0.036200
0.00088623	0.070000	0.036200
0.00089764	0.070000	0.036100
0.00090922	0.070000	0.036100
0.00092093	0.070000	0.036100
0.00093277	0.070000	0.036100
0.00094416	0.070000	0.036100
0.00095601	0.070000	0.036000
0.00096784	0.070000	0.036000
0.00097931	0.070000	0.036000
0.00099073	0.070000	0.036100
0.00100218	0.070000	0.036100
0.00101404	0.070000	0.036100
0.00102564	0.070000	0.036200
0.00103705	0.070000	0.036200
0.00104855	0.070000	0.036200
0.00106019	0.070000	0.036200
0.00107193	0.070000	0.036300
0.00108332	0.070000	0.036300
0.00109476	0.140000	0.036200
0.00110654	0.140000	0.036200
0.00111821	0.140000	0.036200
0.00112990	0.070000	0.036000
0.00114108	0.070000	0.036000
0.00115264	0.070000	0.036000
0.00116433	0.070000	0.036100
0.00117583	0.070000	0.036100
0.00118749	0.070000	0.036100
0.00119906	0.070000	0.036200
0.00121064	0.070000	0.036200
0.00122225	0.070000	0.036200
0.00123370	0.070000	0.036100
0.00124509	0.070000	0.036100
0.00125706	0.070000	0.036100
0.00126837	0.070000	0.036100
0.00128010	0.070000	0.036100
0.00129153	0.070000	0.036100
0.00130353	0.070000	0.036000
0.00131492	0.070000	0.036000
0.00132650	0.070000	0.036000
0.00133785	0.070000	0.036100
0.00134951	0.070000	0.036100
0.00136098	0.070000	0.036100
0.00137286	0.070000	0.036100
0.00138464	0.070000	0.036100
0.00139611	0.070000	0.036100
0.00140774	0.070000	0.036100
0.00141968	0.070000	0.036100
0.00143125	0.070000	0.036100
0.00144291	0.070000	0.036100
0.00145456	0.070000	0.036100
0.00146586	0.070000	0.036100
0.00147774	0.070000	0.036200
0.00148931	0.070000	0.036200
0.00150111	0.070000	0.036200
0.00151271	0.070000	0.036200
0.00152442	0.070000	0.036200
